"Unnamed..0","id1","id2","id3","rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11"
1,"001001-00-00290000003118",32,2,"Bowman, Manikka L.","Allen, Ruth Ryan","Fantini, Alfred B.","Lim, Christopher","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
2,"001001-00-00290000006095",28,2,"Lim, Christopher","Wilson, Ayesha","Bowman, Manikka L.","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
3,"001001-00-00290000011493",27,2,"Weinstein, David J.","Wilson, Ayesha","Allen, Ruth Ryan","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
4,"001001-00-00290000012658",23,2,"Dawson, Bernette J.","Bowman, Manikka L.","Dexter, Emily","Weinstein, David J.","Weinstein, Rachel B.","skipped","skipped","skipped","skipped","skipped","skipped"
5,"001001-00-00290000014340",32,2,"Wilson, Ayesha","Rojas Villarreal, Jose Luis","Kadete, Elechi M.","Weinstein, David J.","Dexter, Emily","skipped","skipped","skipped","skipped","skipped","skipped"
6,"001001-00-00290000017874",27,2,"Dawson, Bernette J.","Dexter, Emily","Rojas Villarreal, Jose Luis","Weinstein, David J.","Wilson, Ayesha","Weinstein, Rachel B.","skipped","skipped","skipped","skipped","skipped"
7,"001001-00-00290000020949",24,2,"Allen, Ruth Ryan","Wilson, Ayesha","Weinstein, Rachel B.","Weinstein, David J.","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
8,"001001-00-00290000022324",27,2,"Wilson, Ayesha","Dawson, Bernette J.","Kadete, Elechi M.","Weinstein, Rachel B.","Allen, Ruth Ryan","Dexter, Emily","skipped","skipped","skipped","skipped","skipped"
9,"001001-00-00290000024486",31,2,"Weinstein, Rachel B.","Rojas Villarreal, Jose Luis","Wilson, Ayesha","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
10,"001001-00-00290000025333",24,2,"Dexter, Emily","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
11,"001001-00-00290000026816",23,2,"Bowman, Manikka L.","Dawson, Bernette J.","Dexter, Emily","Kadete, Elechi M.","Rojas Villarreal, Jose Luis","Wilson, Ayesha","Weinstein, Rachel B.","Weinstein, David J.","Lim, Christopher","Fantini, Alfred B.","Allen, Ruth Ryan"
12,"001001-00-00290000028425",24,2,"Weinstein, Rachel B.","Dexter, Emily","Kadete, Elechi M.","Wilson, Ayesha","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
13,"001001-00-00290000029998",25,2,"Bowman, Manikka L.","Wilson, Ayesha","Dexter, Emily","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
14,"001001-00-00290000030357",26,2,"Fantini, Alfred B.","Wilson, Ayesha","Allen, Ruth Ryan","Bowman, Manikka L.","Dexter, Emily","skipped","skipped","skipped","skipped","skipped","skipped"
15,"001001-00-00290000032890",29,2,"Bowman, Manikka L.","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
16,"001001-00-00290000036382",32,2,"Fantini, Alfred B.","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
17,"001001-00-00290000038913",29,2,"Dawson, Bernette J.","Weinstein, David J.","Weinstein, Rachel B.","Wilson, Ayesha","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
18,"001001-00-00290000041470",31,2,"Wilson, Ayesha","Weinstein, David J.","Dexter, Emily","Kadete, Elechi M.","Dawson, Bernette J.","Rojas Villarreal, Jose Luis","Bowman, Manikka L.","Fantini, Alfred B.","skipped","skipped","skipped"
