"Unnamed..0","id1","id2","id3","rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9"
1,"001001-00-00290000001522",1,2,"Villarreal, José Luis Rojas","Fantini, Alfred B.","Johnson, Daria A.","Weinstein, David J.","Weinstein, Rachel B.","Lim, Christopher","Bhambi, Akriti","skipped","skipped"
2,"001001-00-00290000002592",4,2,"Weinstein, Rachel B.","Fantini, Alfred B.","Weinstein, David J.","Wilson, Ayesha","Bhambi, Akriti","skipped","skipped","skipped","skipped"
3,"001001-00-00290000003107",1,2,"Wilson, Ayesha","Weinstein, Rachel B.","Hunter, Caroline M.","skipped","skipped","skipped","skipped","skipped","skipped"
4,"001001-00-00290000004660",6,2,"Villarreal, José Luis Rojas","Wilson, Ayesha","Weinstein, David J.","Weinstein, Rachel B.","Fantini, Alfred B.","Bhambi, Akriti","skipped","skipped","skipped"
5,"001001-00-00290000005567",1,2,"Fantini, Alfred B.","Villarreal, José Luis Rojas","Wilson, Ayesha","skipped","skipped","skipped","skipped","skipped","skipped"
6,"001001-00-00290000006775",5,2,"Wilson, Ayesha","Bhambi, Akriti","Weinstein, Rachel B.","Hunter, Caroline M.","Johnson, Daria A.","Villarreal, José Luis Rojas","Weinstein, David J.","Fantini, Alfred B.","Lim, Christopher"
7,"001001-00-00290000007152",1,2,"Fantini, Alfred B.","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
8,"001001-00-00290000008611",1,2,"Weinstein, David J.","Villarreal, José Luis Rojas","Hunter, Caroline M.","Fantini, Alfred B.","Wilson, Ayesha","skipped","skipped","skipped","skipped"
9,"001001-00-00290000012383",9,2,"Wilson, Ayesha","Fantini, Alfred B.","Villarreal, José Luis Rojas","Bhambi, Akriti","Weinstein, David J.","Weinstein, Rachel B.","Johnson, Daria A.","Hunter, Caroline M.","Lim, Christopher"
10,"001001-00-00290000013895",6,2,"Fantini, Alfred B.","Wilson, Ayesha","Weinstein, Rachel B.","Weinstein, David J.","Hunter, Caroline M.","Johnson, Daria A.","Lim, Christopher","Villarreal, José Luis Rojas","skipped"
11,"001001-00-00290000015354",2,2,"Weinstein, Rachel B.","Weinstein, David J.","Wilson, Ayesha","Johnson, Daria A.","Bhambi, Akriti","Hunter, Caroline M.","skipped","skipped","skipped"
12,"001001-00-00290000021191",3,2,"Hunter, Caroline M.","Bhambi, Akriti","Weinstein, Rachel B.","Villarreal, José Luis Rojas","skipped","skipped","skipped","skipped","skipped"
13,"001001-00-00290000022017",9,2,"Bhambi, Akriti","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
14,"001001-00-00290000023902",1,2,"Villarreal, José Luis Rojas","Weinstein, Rachel B.","Wilson, Ayesha","Weinstein, David J.","skipped","skipped","skipped","skipped","skipped"
15,"001001-00-00290000026541",6,2,"Weinstein, Rachel B.","Weinstein, David J.","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
16,"001001-00-00290000027839",8,2,"Hunter, Caroline M.","Bhambi, Akriti","Wilson, Ayesha","Villarreal, José Luis Rojas","Weinstein, David J.","Weinstein, Rachel B.","Fantini, Alfred B.","Lim, Christopher","Johnson, Daria A."
