6,2
390,1
378,1,2
24,1,2,3
71,1,2,3,4
21,1,2,3,5
21,1,2,3,6
19,1,2,4
37,1,2,4,3
28,1,2,4,5
9,1,2,4,6
17,1,2,5
21,1,2,5,3
26,1,2,5,4
5,1,2,5,6
4,1,2,6
22,1,2,6,3
9,1,2,6,4
11,1,2,6,5
52,1,3
22,1,3,2
30,1,3,2,4
9,1,3,2,5
12,1,3,2,6
6,1,3,4
26,1,3,4,2
10,1,3,4,5
6,1,3,4,6
1,1,3,5
9,1,3,5,2
4,1,3,5,4
4,1,3,6
7,1,3,6,2
8,1,3,6,4
7,1,3,6,5
59,1,4
26,1,4,2
49,1,4,2,3
21,1,4,2,5
5,1,4,2,6
9,1,4,3
27,1,4,3,2
6,1,4,3,5
3,1,4,3,6
3,1,4,5
7,1,4,5,2
8,1,4,5,3
8,1,4,5,6
2,1,4,6
9,1,4,6,2
11,1,4,6,3
4,1,4,6,5
32,1,5
9,1,5,2
6,1,5,2,3
3,1,5,2,4
6,1,5,2,6
7,1,5,3,2
3,1,5,3,4
4,1,5,3,6
3,1,5,4
3,1,5,4,2
5,1,5,4,3
8,1,5,4,6
1,1,5,6
6,1,5,6,2
2,1,5,6,3
17,1,5,6,4
22,1,6
6,1,6,2
11,1,6,2,3
7,1,6,2,4
4,1,6,2,5
4,1,6,3
7,1,6,3,2
7,1,6,3,4
3,1,6,3,5
1,1,6,4
8,1,6,4,2
5,1,6,4,3
4,1,6,4,5
5,1,6,5
2,1,6,5,2
7,1,6,5,3
5,1,6,5,4
108,2
155,2,1
14,2,1,3
22,2,1,3,4
8,2,1,3,5
5,2,1,3,6
15,2,1,4
8,2,1,4,3
14,2,1,4,5
5,2,1,4,6
5,2,1,5
8,2,1,5,3
12,2,1,5,4
6,2,1,5,6
11,2,1,6
5,2,1,6,3
6,2,1,6,4
6,2,1,6,5
29,2,3
9,2,3,1
6,2,3,1,4
3,2,3,1,5
3,2,3,1,6
2,2,3,4
10,2,3,4,1
5,2,3,4,5
1,2,3,4,6
1,2,3,5
2,2,3,5,1
2,2,3,5,4
4,2,3,5,6
2,2,3,6
8,2,3,6,1
5,2,3,6,4
2,2,3,6,5
18,2,4
3,2,4,1,3
9,2,4,1,5
5,2,4,1,6
5,2,4,3
5,2,4,3,1
2,2,4,3,5
3,2,4,3,6
3,2,4,5
3,2,4,5,1
1,2,4,5,3
3,2,4,5,6
2,2,4,6
1,2,4,6,1
2,2,4,6,3
2,2,4,6,5
7,2,5
5,2,5,1
2,2,5,1,3
1,2,5,1,4
2,2,5,3,1
7,2,5,3,4
2,2,5,3,6
4,2,5,4,1
3,2,5,4,3
7,2,5,4,6
2,2,5,6,1
1,2,5,6,3
13,2,5,6,4
16,2,6
2,2,6,1
4,2,6,1,3
3,2,6,1,4
5,2,6,1,5
5,2,6,3
8,2,6,3,1
8,2,6,3,4
7,2,6,3,5
2,2,6,4
1,2,6,4,1
5,2,6,4,3
3,2,6,4,5
1,2,6,5,1
4,2,6,5,3
2,2,6,5,4
24,3
7,3,1
3,3,1,2
6,3,1,2,4
3,3,1,2,5
1,3,1,2,6
1,3,1,4
7,3,1,4,2
3,3,1,4,5
1,3,1,4,6
2,3,1,5
1,3,1,6
3,3,1,6,4
11,3,2
2,3,2,1
6,3,2,1,4
4,3,2,1,5
4,3,2,1,6
2,3,2,4
4,3,2,4,1
3,3,2,4,5
2,3,2,4,6
2,3,2,5
2,3,2,5,1
5,3,2,5,4
3,3,2,5,6
3,3,2,6
2,3,2,6,4
3,3,2,6,5
6,3,4
3,3,4,1,2
2,3,4,1,5
3,3,4,1,6
3,3,4,2
3,3,4,2,1
3,3,4,2,5
2,3,4,2,6
2,3,4,5
1,3,4,5,1
2,3,4,5,2
2,3,4,5,6
1,3,4,6
1,3,4,6,1
3,3,4,6,2
3,3,4,6,5
4,3,5
2,3,5,1,2
1,3,5,2,1
2,3,5,2,4
2,3,5,4,1
3,3,5,4,2
1,3,5,6,1
1,3,5,6,2
5,3,5,6,4
32,3,6
5,3,6,1
1,3,6,1,2
7,3,6,1,4
3,3,6,1,5
6,3,6,2
5,3,6,2,1
11,3,6,2,4
2,3,6,2,5
5,3,6,4
5,3,6,4,1
8,3,6,4,2
13,3,6,4,5
1,3,6,5
1,3,6,5,1
5,3,6,5,2
7,3,6,5,4
34,4
12,4,1
9,4,1,2
6,4,1,2,3
7,4,1,2,5
5,4,1,2,6
6,4,1,3
5,4,1,3,2
2,4,1,3,5
3,4,1,3,6
1,4,1,5
2,4,1,5,2
9,4,1,5,3
9,4,1,5,6
3,4,1,6
2,4,1,6,2
1,4,1,6,3
2,4,1,6,5
10,4,2
9,4,2,1
7,4,2,1,3
6,4,2,1,5
1,4,2,3
6,4,2,3,1
3,4,2,3,5
3,4,2,3,6
1,4,2,5
7,4,2,5,1
3,4,2,5,3
3,4,2,5,6
2,4,2,6,1
2,4,2,6,3
1,4,2,6,5
3,4,3
1,4,3,1
8,4,3,1,2
1,4,3,1,5
1,4,3,1,6
2,4,3,2
2,4,3,2,1
7,4,3,2,5
2,4,3,2,6
2,4,3,5,1
5,4,3,5,2
5,4,3,6
1,4,3,6,1
2,4,3,6,2
