5,2
7899,1
5195,1,2
3538,1,2,3
1926,1,2,4
75,1,2,5
430,1,3
1567,1,3,2
896,1,3,4
12,1,3,5
262,1,4
1227,1,4,2
834,1,4,3
15,1,4,5
61,1,5
7,1,5,2
3,1,5,3
2,1,5,4
2838,2
7283,2,1
2732,2,1,3
1154,2,1,4
78,2,1,5
219,2,3
853,2,3,1
452,2,3,4
6,2,3,5
71,2,4
356,2,4,1
305,2,4,3
4,2,4,5
13,2,5
5,2,5,1
1,2,5,4
2526,3
292,3,1
687,3,1,2
498,3,1,4
9,3,1,5
166,3,2
572,3,2,1
370,3,2,4
7,3,2,5
148,3,4
231,3,4,1
241,3,4,2
6,3,4,5
52,3,5
4,3,5,1
2,3,5,2
2,3,5,4
656,4
133,4,1
300,4,1,2
238,4,1,3
12,4,1,5
54,4,2
223,4,2,1
277,4,2,3
1,4,2,5
67,4,3
184,4,3,1
134,4,3,2
5,4,3,5
19,4,5
2,4,5,1
1,4,5,2
2,4,5,3
343,5
16,5,1
10,5,1,2
6,5,1,3
3,5,1,4
2,5,2
10,5,2,1
1,5,2,3
4,5,2,4
1,5,3
4,5,3,1
4,5,3,2
1,5,3,4
3,5,4
3,5,4,1
1,5,4,2
3,5,4,3
Candidate 1,CAROL J. BECKER,None
Candidate 2,DAVID B WHEELER,None
Candidate 3,DAVID PASCOE,None
Candidate 4,DOUGLAS SEMBLA,None
Candidate 5,writein,None
Unknown Ward
