9,3
1373,1
98,1,2
91,1,2,3
105,1,2,4
62,1,2,5
58,1,2,6
233,1,2,7
128,1,2,8
3,1,2,9
41,1,3
111,1,3,2
77,1,3,4
52,1,3,5
73,1,3,6
162,1,3,7
48,1,3,8
2,1,3,9
66,1,4
78,1,4,2
55,1,4,3
38,1,4,5
100,1,4,6
80,1,4,7
80,1,4,8
1,1,4,9
40,1,5
40,1,5,2
30,1,5,3
37,1,5,4
32,1,5,6
67,1,5,7
52,1,5,8
3,1,5,9
79,1,6
88,1,6,2
45,1,6,3
72,1,6,4
34,1,6,5
60,1,6,7
108,1,6,8
471,1,7
311,1,7,2
138,1,7,3
116,1,7,4
58,1,7,5
67,1,7,6
612,1,7,8
11,1,7,9
146,1,8
209,1,8,2
113,1,8,3
79,1,8,4
100,1,8,5
107,1,8,6
531,1,8,7
4,1,8,9
8,1,9
2445,2
109,2,1
152,2,1,3
77,2,1,4
34,2,1,5
77,2,1,6
208,2,1,7
126,2,1,8
161,2,3
111,2,3,1
240,2,3,4
77,2,3,5
281,2,3,6
125,2,3,7
103,2,3,8
4,2,3,9
184,2,4
100,2,4,1
220,2,4,3
91,2,4,5
809,2,4,6
153,2,4,7
170,2,4,8
2,2,4,9
98,2,5
54,2,5,1
79,2,5,3
151,2,5,4
144,2,5,6
95,2,5,7
104,2,5,8
2,2,5,9
281,2,6
76,2,6,1
313,2,6,3
664,2,6,4
100,2,6,5
116,2,6,7
209,2,6,8
4,2,6,9
255,2,7
273,2,7,1
139,2,7,3
107,2,7,4
82,2,7,5
142,2,7,6
1545,2,7,8
1,2,7,9
338,2,8
185,2,8,1
125,2,8,3
210,2,8,4
110,2,8,5
235,2,8,6
4743,2,8,7
6,2,8,9
10,2,9
1,2,9,6
1353,3
46,3,1
73,3,1,2
54,3,1,4
30,3,1,5
36,3,1,6
119,3,1,7
51,3,1,8
144,3,2
110,3,2,1
319,3,2,4
124,3,2,5
341,3,2,6
123,3,2,7
114,3,2,8
3,3,2,9
93,3,4
52,3,4,1
140,3,4,2
68,3,4,5
317,3,4,6
69,3,4,7
50,3,4,8
2,3,4,9
51,3,5
30,3,5,1
82,3,5,2
65,3,5,4
87,3,5,6
47,3,5,7
41,3,5,8
2,3,5,9
160,3,6
55,3,6,1
217,3,6,2
313,3,6,4
81,3,6,5
47,3,6,7
87,3,6,8
3,3,6,9
60,3,7
99,3,7,1
96,3,7,2
62,3,7,4
49,3,7,5
83,3,7,6
87,3,7,8
55,3,8
38,3,8,1
72,3,8,2
39,3,8,4
41,3,8,5
55,3,8,6
68,3,8,7
2,3,8,9
10,3,9
1,3,9,1
2,3,9,4
3398,4
53,4,1
55,4,1,2
58,4,1,3
33,4,1,5
90,4,1,6
67,4,1,7
56,4,1,8
162,4,2
71,4,2,1
200,4,2,3
94,4,2,5
487,4,2,6
109,4,2,7
156,4,2,8
2,4,2,9
118,4,3
40,4,3,1
138,4,3,2
62,4,3,5
329,4,3,6
51,4,3,7
46,4,3,8
3,4,3,9
168,4,5
33,4,5,1
90,4,5,2
75,4,5,3
309,4,5,6
54,4,5,7
83,4,5,8
3,4,5,9
1005,4,6
137,4,6,1
866,4,6,2
667,4,6,3
682,4,6,5
142,4,6,7
395,4,6,8
5,4,6,9
92,4,7
61,4,7,1
95,4,7,2
41,4,7,3
47,4,7,5
194,4,7,6
110,4,7,8
3,4,7,9
138,4,8
79,4,8,1
139,4,8,2
70,4,8,3
72,4,8,5
229,4,8,6
138,4,8,7
1,4,8,9
14,4,9
1,4,9,5
1885,5
27,5,1
37,5,1,2
33,5,1,3
34,5,1,4
38,5,1,6
58,5,1,7
42,5,1,8
133,5,2
65,5,2,1
105,5,2,3
121,5,2,4
151,5,2,6
101,5,2,7
162,5,2,8
56,5,3
29,5,3,1
74,5,3,2
68,5,3,4
105,5,3,6
57,5,3,7
25,5,3,8
3,5,3,9
212,5,4
48,5,4,1
106,5,4,2
106,5,4,3
430,5,4,6
124,5,4,7
127,5,4,8
3,5,4,9
375,5,6
53,5,6,1
187,5,6,2
114,5,6,3
399,5,6,4
59,5,6,7
218,5,6,8
5,5,6,9
82,5,7
69,5,7,1
63,5,7,2
49,5,7,3
56,5,7,4
80,5,7,6
86,5,7,8
3,5,7,9
86,5,8
60,5,8,1
104,5,8,2
29,5,8,3
97,5,8,4
140,5,8,6
102,5,8,7
5,5,8,9
25,5,9
1,5,9,4
8482,6
118,6,1
108,6,1,2
93,6,1,3
120,6,1,4
65,6,1,5
75,6,1,7
199,6,1,8
1,6,1,9
334,6,2
113,6,2,1
396,6,2,3
1011,6,2,4
158,6,2,5
178,6,2,7
360,6,2,8
327,6,3
74,6,3,1
371,6,3,2
882,6,3,4
154,6,3,5
89,6,3,7
133,6,3,8
6,6,3,9
1553,6,4
187,6,4,1
962,6,4,2
1347,6,4,3
1153,6,4,5
185,6,4,7
526,6,4,8
14,6,4,9
447,6,5
67,6,5,1
142,6,5,2
151,6,5,3
505,6,5,4
82,6,5,7
186,6,5,8
7,6,5,9
179,6,7
76,6,7,1
130,6,7,2
74,6,7,3
119,6,7,4
70,6,7,5
232,6,7,8
1,6,7,9
727,6,8
223,6,8,1
548,6,8,2
262,6,8,3
568,6,8,4
319,6,8,5
428,6,8,7
9,6,8,9
40,6,9
1,6,9,4
1,6,9,8
2501,7
911,7,1
484,7,1,2
151,7,1,3
121,7,1,4
76,7,1,5
93,7,1,6
937,7,1,8
14,7,1,9
223,7,2
501,7,2,1
121,7,2,3
149,7,2,4
66,7,2,5
113,7,2,6
1363,7,2,8
4,7,2,9
94,7,3
102,7,3,1
107,7,3,2
51,7,3,4
38,7,3,5
61,7,3,6
776,7,3,8
1,7,3,9
93,7,4
57,7,4,1
85,7,4,2
48,7,4,3
56,7,4,5
86,7,4,6
82,7,4,8
1,7,4,9
60,7,5
58,7,5,1
64,7,5,2
43,7,5,3
46,7,5,4
34,7,5,6
81,7,5,8
1,7,5,9
131,7,6
111,7,6,1
104,7,6,2
61,7,6,3
86,7,6,4
46,7,6,5
130,7,6,8
1,7,6,9
395,7,8
1010,7,8,1
2657,7,8,2
127,7,8,3
152,7,8,4
94,7,8,5
206,7,8,6
3,7,8,9
21,7,9
1,7,9,1
2,7,9,8
3509,8
166,8,1
226,8,1,2
71,8,1,3
95,8,1,4
100,8,1,5
126,8,1,6
489,8,1,7
3,8,1,9
320,8,2
245,8,2,1
124,8,2,3
260,8,2,4
156,8,2,5
293,8,2,6
1780,8,2,7
5,8,2,9
76,8,3
47,8,3,1
165,8,3,2
57,8,3,4
46,8,3,5
74,8,3,6
93,8,3,7
165,8,4
83,8,4,1
177,8,4,2
75,8,4,3
100,8,4,5
257,8,4,6
150,8,4,7
3,8,4,9
89,8,5
70,8,5,1
104,8,5,2
48,8,5,3
121,8,5,4
147,8,5,6
122,8,5,7
1,8,5,9
437,8,6
157,8,6,1
315,8,6,2
139,8,6,3
360,8,6,4
186,8,6,5
306,8,6,7
2,8,6,9
476,8,7
1260,8,7,1
7904,8,7,2
106,8,7,3
208,8,7,4
155,8,7,5
511,8,7,6
7,8,7,9
26,8,9
1,8,9,2
1,8,9,4
1,8,9,5
363,9
1,9,1,2
1,9,2
1,9,2,4
1,9,2,6
1,9,3
1,9,3,2
1,9,3,4
1,9,3,5
1,9,3,7
3,9,4
1,9,4,6
1,9,5
1,9,5,2
1,9,5,3
2,9,5,7
1,9,5,8
4,9,6
3,9,6,2
2,9,6,3
1,9,6,4
1,9,6,5
1,9,6,7
2,9,7,2
1,9,7,4
2,9,7,8
2,9,8
3,9,8,1
1,9,8,2
2,9,8,4
1,9,8,7
Candidate 1,Adam Schneider,None
Candidate 2,Amber A. Frederick,None
Candidate 3,Averi M. Turner,None
Candidate 4,Mary McKelvey,None
Candidate 5,Matthew Dowgwillo,None
Candidate 6,Meg Forney,None
Candidate 7,Michael Wilson,None
Candidate 8,Tom Olsen,None
Candidate 9,UWI,None
Unknown Ward
