VoteKit RankProfile
Candidates
(writein:0),(Carol Becker:1),(James Elliot Swartwood:2),(DeWayne Townsend:3),(R. Michael Martens:4),(David Wheeler:5),(Phil Willkie:6)
Max Ranking Length
3
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,&,Weight,&
{'0'},,,&,170.0,&
{'0'},{'0'},{'0'},&,26.0,&
{'1'},{'0'},{'2'},&,1.0,&
{'1'},{'0'},{'0'},&,16.0,&
{'1'},{'0'},,&,24.0,&
{'1'},{'0'},{'3'},&,2.0,&
{'1'},{'4'},{'0'},&,6.0,&
{'1'},{'4'},{'2'},&,100.0,&
{'1'},{'4'},{'3'},&,193.0,&
{'1'},{'4'},{'5'},&,259.0,&
{'1'},{'4'},{'6'},&,136.0,&
{'1'},{'4'},,&,257.0,&
{'1'},{'0'},{'6'},&,2.0,&
{'1'},{'0'},{'5'},&,1.0,&
{'1'},{'2'},{'0'},&,2.0,&
{'1'},{'2'},{'4'},&,71.0,&
{'1'},{'2'},{'3'},&,73.0,&
{'1'},{'2'},{'5'},&,172.0,&
{'1'},{'2'},{'6'},&,93.0,&
{'1'},{'2'},,&,104.0,&
{'1'},{'3'},{'0'},&,14.0,&
{'1'},{'3'},{'4'},&,179.0,&
{'1'},{'3'},{'2'},&,144.0,&
{'1'},{'3'},{'5'},&,524.0,&
{'1'},{'3'},{'6'},&,549.0,&
{'1'},{'3'},,&,1110.0,&
{'1'},{'5'},{'0'},&,12.0,&
{'1'},{'5'},{'4'},&,487.0,&
{'1'},{'5'},{'2'},&,173.0,&
{'1'},{'5'},{'3'},&,587.0,&
{'1'},{'5'},{'5'},&,11.0,&
{'1'},{'5'},{'6'},&,626.0,&
{'1'},{'5'},,&,1246.0,&
{'1'},{'6'},{'0'},&,11.0,&
{'1'},{'6'},{'4'},&,132.0,&
{'1'},{'6'},{'2'},&,99.0,&
{'1'},{'6'},{'3'},&,305.0,&
{'1'},{'6'},{'5'},&,456.0,&
{'1'},{'6'},,&,598.0,&
{'1'},,,&,7952.0,&
{'0'},{'5'},{'4'},&,1.0,&
{'0'},{'2'},{'1'},&,2.0,&
{'0'},{'0'},,&,7.0,&
{'0'},{'5'},{'1'},&,1.0,&
{'0'},{'4'},,&,1.0,&
{'0'},{'5'},,&,1.0,&
{'0'},{'1'},{'5'},&,1.0,&
{'0'},{'6'},{'0'},&,1.0,&
{'0'},{'6'},{'4'},&,1.0,&
{'0'},{'0'},{'1'},&,1.0,&
{'0'},{'1'},,&,2.0,&
{'0'},{'5'},{'6'},&,1.0,&
{'0'},{'1'},{'4'},&,2.0,&
{'0'},{'1'},{'6'},&,2.0,&
{'4'},{'0'},{'0'},&,7.0,&
{'4'},{'0'},,&,5.0,&
{'4'},{'1'},{'0'},&,2.0,&
{'4'},{'1'},{'2'},&,32.0,&
{'4'},{'1'},{'3'},&,54.0,&
{'4'},{'1'},{'5'},&,101.0,&
{'4'},{'1'},{'6'},&,65.0,&
{'4'},{'1'},,&,124.0,&
{'4'},{'0'},{'5'},&,2.0,&
{'4'},{'0'},{'6'},&,1.0,&
{'4'},{'2'},{'1'},&,28.0,&
{'4'},{'2'},{'0'},&,2.0,&
{'4'},{'2'},{'3'},&,24.0,&
{'4'},{'2'},{'5'},&,28.0,&
{'4'},{'2'},{'6'},&,24.0,&
{'4'},{'2'},,&,53.0,&
{'4'},{'3'},{'1'},&,46.0,&
{'4'},{'3'},{'0'},&,1.0,&
{'4'},{'3'},{'2'},&,25.0,&
{'4'},{'3'},{'5'},&,25.0,&
{'4'},{'3'},{'6'},&,9.0,&
{'4'},{'3'},,&,38.0,&
{'4'},{'5'},{'1'},&,84.0,&
{'4'},{'5'},{'0'},&,3.0,&
{'4'},{'5'},{'2'},&,41.0,&
{'4'},{'5'},{'3'},&,25.0,&
{'4'},{'5'},{'6'},&,43.0,&
{'4'},{'5'},,&,175.0,&
{'4'},{'6'},{'1'},&,43.0,&
{'4'},{'6'},{'2'},&,22.0,&
{'4'},{'6'},{'3'},&,52.0,&
{'4'},{'6'},{'5'},&,30.0,&
{'4'},{'6'},,&,59.0,&
{'4'},,,&,1505.0,&
{'0'},{'1'},{'3'},&,2.0,&
{'0'},{'3'},{'5'},&,2.0,&
{'0'},{'0'},{'2'},&,1.0,&
{'0'},{'6'},{'1'},&,1.0,&
{'2'},{'1'},{'4'},&,14.0,&
{'2'},{'1'},{'0'},&,1.0,&
{'2'},{'1'},{'3'},&,23.0,&
{'2'},{'1'},{'5'},&,35.0,&
{'2'},{'1'},{'6'},&,44.0,&
{'2'},{'1'},,&,32.0,&
{'2'},{'4'},{'1'},&,18.0,&
{'2'},{'4'},{'0'},&,1.0,&
{'2'},{'4'},{'3'},&,18.0,&
{'2'},{'4'},{'5'},&,22.0,&
{'2'},{'4'},{'6'},&,21.0,&
{'2'},{'4'},,&,30.0,&
{'2'},{'3'},{'1'},&,21.0,&
{'2'},{'3'},{'0'},&,3.0,&
{'2'},{'3'},{'4'},&,13.0,&
{'2'},{'3'},{'5'},&,10.0,&
{'2'},{'3'},{'6'},&,14.0,&
{'2'},{'3'},,&,18.0,&
{'2'},{'5'},{'0'},&,1.0,&
{'2'},{'5'},{'1'},&,33.0,&
{'2'},{'5'},{'4'},&,41.0,&
{'2'},{'5'},{'3'},&,15.0,&
{'2'},{'5'},{'5'},&,1.0,&
{'2'},{'5'},{'6'},&,29.0,&
{'2'},{'5'},,&,28.0,&
{'2'},{'6'},{'1'},&,41.0,&
{'2'},{'6'},{'4'},&,15.0,&
{'2'},{'6'},{'3'},&,24.0,&
{'2'},{'6'},{'5'},&,19.0,&
{'2'},{'6'},{'0'},&,2.0,&
{'2'},{'6'},,&,21.0,&
{'2'},,,&,367.0,&
{'3'},{'1'},{'0'},&,7.0,&
{'3'},{'1'},{'4'},&,74.0,&
{'3'},{'1'},{'2'},&,79.0,&
{'3'},{'1'},{'5'},&,184.0,&
{'3'},{'1'},{'6'},&,131.0,&
{'3'},{'1'},,&,339.0,&
{'3'},{'0'},{'0'},&,3.0,&
{'3'},{'0'},,&,1.0,&
{'3'},{'4'},{'1'},&,36.0,&
{'3'},{'4'},{'2'},&,22.0,&
{'3'},{'4'},{'5'},&,20.0,&
{'3'},{'4'},{'6'},&,16.0,&
{'3'},{'4'},,&,21.0,&
{'3'},{'2'},{'1'},&,33.0,&
{'3'},{'2'},{'4'},&,30.0,&
{'3'},{'2'},{'5'},&,24.0,&
{'3'},{'2'},{'6'},&,13.0,&
{'3'},{'2'},,&,14.0,&
{'3'},{'5'},{'1'},&,95.0,&
{'3'},{'5'},{'4'},&,39.0,&
{'3'},{'5'},{'0'},&,2.0,&
{'3'},{'5'},{'2'},&,17.0,&
{'3'},{'5'},{'6'},&,49.0,&
{'3'},{'5'},,&,70.0,&
{'3'},{'6'},{'1'},&,58.0,&
{'3'},{'6'},{'4'},&,21.0,&
{'3'},{'6'},{'0'},&,1.0,&
{'3'},{'6'},{'2'},&,12.0,&
{'3'},{'6'},{'5'},&,33.0,&
{'3'},{'6'},,&,35.0,&
{'3'},,,&,844.0,&
{'5'},{'0'},{'0'},&,5.0,&
{'5'},{'1'},{'0'},&,12.0,&
{'5'},{'1'},{'4'},&,202.0,&
{'5'},{'1'},{'2'},&,94.0,&
{'5'},{'1'},{'3'},&,281.0,&
{'5'},{'1'},{'5'},&,1.0,&
{'5'},{'1'},{'6'},&,350.0,&
{'5'},{'1'},,&,823.0,&
{'5'},{'0'},,&,6.0,&
{'5'},{'4'},{'1'},&,229.0,&
{'5'},{'4'},{'0'},&,3.0,&
{'5'},{'4'},{'2'},&,37.0,&
{'5'},{'4'},{'3'},&,53.0,&
{'5'},{'4'},{'6'},&,129.0,&
{'5'},{'4'},,&,736.0,&
