VoteKit RankProfile
Candidates
(CAROL J. BECKER:0),(DAVID B WHEELER:1),(DAVID PASCOE:2),(DOUGLAS SEMBLA:3),(overvote:4),(writein:5)
Max Ranking Length
3
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,&,Weight,&
{'0'},{'0'},{'0'},&,282.0,&
{'0'},{'0'},{'1'},&,22.0,&
{'0'},{'0'},{'2'},&,11.0,&
{'0'},{'0'},{'3'},&,7.0,&
{'0'},{'0'},{'4'},&,1.0,&
{'0'},{'0'},,&,25.0,&
{'0'},{'1'},{'0'},&,63.0,&
{'0'},{'1'},{'1'},&,30.0,&
{'0'},{'1'},{'2'},&,3538.0,&
{'0'},{'1'},{'3'},&,1926.0,&
{'0'},{'1'},{'4'},&,7.0,&
{'0'},{'1'},,&,5071.0,&
{'0'},{'1'},{'5'},&,75.0,&
{'0'},{'2'},{'0'},&,12.0,&
{'0'},{'2'},{'1'},&,1567.0,&
{'0'},{'2'},{'2'},&,7.0,&
{'0'},{'2'},{'3'},&,896.0,&
{'0'},{'2'},{'4'},&,4.0,&
{'0'},{'2'},,&,387.0,&
{'0'},{'2'},{'5'},&,12.0,&
{'0'},{'3'},{'0'},&,13.0,&
{'0'},{'3'},{'1'},&,1227.0,&
{'0'},{'3'},{'2'},&,834.0,&
{'0'},{'3'},{'3'},&,8.0,&
{'0'},{'3'},,&,233.0,&
{'0'},{'3'},{'5'},&,15.0,&
{'0'},{'4'},{'1'},&,1.0,&
{'0'},{'4'},{'2'},&,6.0,&
{'0'},{'4'},{'4'},&,1.0,&
{'0'},,,&,7577.0,&
{'0'},{'5'},{'0'},&,3.0,&
{'0'},{'5'},{'1'},&,7.0,&
{'0'},{'5'},{'2'},&,3.0,&
{'0'},{'5'},{'3'},&,2.0,&
{'0'},{'5'},,&,25.0,&
{'0'},{'5'},{'5'},&,33.0,&
{'1'},{'0'},{'0'},&,29.0,&
{'1'},{'0'},{'1'},&,56.0,&
{'1'},{'0'},{'2'},&,2732.0,&
{'1'},{'0'},{'3'},&,1154.0,&
{'1'},{'0'},{'4'},&,2.0,&
{'1'},{'0'},,&,7185.0,&
{'1'},{'0'},{'5'},&,78.0,&
{'1'},{'1'},{'0'},&,9.0,&
{'1'},{'1'},{'1'},&,124.0,&
{'1'},{'1'},{'2'},&,5.0,&
{'1'},{'1'},{'3'},&,4.0,&
{'1'},{'1'},,&,18.0,&
{'1'},{'2'},{'0'},&,853.0,&
{'1'},{'2'},{'1'},&,13.0,&
{'1'},{'2'},{'2'},&,11.0,&
{'1'},{'2'},{'3'},&,452.0,&
{'1'},{'2'},{'4'},&,2.0,&
{'1'},{'2'},,&,185.0,&
{'1'},{'2'},{'5'},&,6.0,&
{'1'},{'3'},{'0'},&,356.0,&
{'1'},{'3'},{'1'},&,9.0,&
{'1'},{'3'},{'2'},&,305.0,&
