VoteKit RankProfile
Candidates
(Carol Becker:0),(David B. Wheeler:1),(John Edwards:2),(writein:3),(overvote:4)
Max Ranking Length
3
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,&,Weight,&
{'0'},{'1'},,&,27956.0,&
{'1'},,,&,6546.0,&
{'0'},,,&,16321.0,&
{'1'},{'0'},,&,10209.0,&
{'2'},{'0'},{'1'},&,92.0,&
{'0'},{'0'},{'0'},&,767.0,&
{'0'},{'1'},{'3'},&,1643.0,&
{'1'},{'1'},,&,65.0,&
{'1'},{'1'},{'1'},&,396.0,&
{'1'},{'2'},,&,489.0,&
{'1'},{'0'},{'3'},&,704.0,&
{'1'},{'3'},{'3'},&,74.0,&
{'1'},{'0'},{'1'},&,345.0,&
{'0'},{'1'},{'0'},&,680.0,&
{'0'},{'0'},,&,106.0,&
{'1'},{'0'},{'0'},&,146.0,&
{'2'},{'1'},,&,613.0,&
{'3'},{'0'},{'1'},&,65.0,&
{'2'},{'0'},,&,60.0,&
{'2'},{'1'},{'0'},&,147.0,&
{'2'},,,&,569.0,&
{'1'},{'2'},{'0'},&,71.0,&
{'3'},,,&,297.0,&
{'2'},{'3'},{'1'},&,5.0,&
{'0'},{'3'},{'3'},&,116.0,&
{'3'},{'1'},{'0'},&,27.0,&
{'0'},{'1'},{'1'},&,136.0,&
{'3'},{'3'},{'3'},&,213.0,&
{'1'},{'3'},{'0'},&,27.0,&
{'4'},,,&,118.0,&
{'4'},{'0'},,&,12.0,&
{'1'},{'0'},{'2'},&,37.0,&
{'1'},{'1'},{'0'},&,79.0,&
{'4'},{'4'},{'4'},&,9.0,&
{'0'},{'3'},{'1'},&,40.0,&
{'0'},{'2'},,&,46.0,&
{'0'},{'0'},{'1'},&,165.0,&
{'2'},{'1'},{'1'},&,4.0,&
{'0'},{'1'},{'2'},&,44.0,&
{'2'},{'3'},{'3'},&,7.0,&
{'3'},{'0'},,&,9.0,&
{'4'},{'1'},,&,11.0,&
{'1'},{'4'},,&,8.0,&
{'1'},{'2'},{'1'},&,1.0,&
{'1'},{'3'},,&,58.0,&
{'0'},{'2'},{'1'},&,18.0,&
{'3'},{'3'},,&,28.0,&
{'2'},{'1'},{'3'},&,25.0,&
{'3'},{'2'},,&,4.0,&
{'0'},{'3'},,&,61.0,&
{'3'},{'1'},,&,16.0,&
{'4'},{'4'},,&,2.0,&
{'3'},{'2'},{'3'},&,4.0,&
{'0'},{'1'},{'4'},&,13.0,&
{'2'},{'3'},,&,8.0,&
{'1'},{'3'},{'2'},&,1.0,&
{'4'},{'1'},{'1'},&,2.0,&
{'3'},{'1'},{'3'},&,2.0,&
{'1'},{'1'},{'3'},&,3.0,&
{'3'},{'0'},{'3'},&,2.0,&
{'1'},{'2'},{'3'},&,25.0,&
{'1'},{'4'},{'0'},&,2.0,&
{'0'},{'4'},,&,14.0,&
{'3'},{'3'},{'0'},&,4.0,&
{'1'},{'2'},{'2'},&,1.0,&
{'0'},{'2'},{'3'},&,2.0,&
{'1'},{'0'},{'4'},&,4.0,&
{'0'},{'0'},{'3'},&,5.0,&
{'1'},{'2'},{'4'},&,1.0,&
{'3'},{'3'},{'1'},&,4.0,&
{'0'},{'4'},{'3'},&,3.0,&
{'0'},{'4'},{'4'},&,5.0,&
{'2'},{'2'},,&,1.0,&
{'2'},{'0'},{'3'},&,2.0,&
{'2'},{'2'},{'2'},&,3.0,&
{'4'},{'0'},{'0'},&,1.0,&
{'4'},{'3'},,&,1.0,&
{'2'},{'2'},{'3'},&,1.0,&
{'0'},{'4'},{'0'},&,4.0,&
{'4'},{'4'},{'1'},&,1.0,&
{'0'},{'0'},{'4'},&,1.0,&
{'3'},{'0'},{'0'},&,2.0,&
{'4'},{'1'},{'0'},&,1.0,&
{'1'},{'4'},{'1'},&,2.0,&
{'2'},{'1'},{'2'},&,1.0,&
{'3'},{'1'},{'2'},&,1.0,&
{'4'},{'0'},{'1'},&,1.0,&
{'0'},{'3'},{'0'},&,2.0,&
{'4'},{'1'},{'3'},&,2.0,&
{'1'},{'4'},{'3'},&,1.0,&
{'4'},{'0'},{'3'},&,1.0,&
{'4'},{'2'},,&,1.0,&
{'4'},{'4'},{'3'},&,1.0,&
