VoteKit RankProfile
Candidates
(Steve Brandt:0),(Pine Salica:1),"(Samantha ""Sam"" Pree-Stinson:2)",(Kevin Nikiforakis:3),(writein:4),(overvote:5)
Max Ranking Length
3
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,&,Weight,&
{'0'},,,&,22464.0,&
{'1'},{'0'},,&,2493.0,&
{'1'},,,&,4716.0,&
{'2'},{'3'},{'0'},&,881.0,&
{'0'},{'1'},,&,4204.0,&
{'2'},{'0'},,&,1648.0,&
{'0'},{'1'},{'3'},&,914.0,&
{'0'},{'1'},{'2'},&,2229.0,&
{'2'},{'1'},{'0'},&,3318.0,&
{'3'},,,&,2073.0,&
{'0'},{'2'},{'1'},&,2389.0,&
{'2'},{'1'},,&,3104.0,&
{'2'},,,&,8857.0,&
{'3'},{'2'},{'1'},&,517.0,&
{'4'},,,&,368.0,&
{'1'},{'0'},{'2'},&,2140.0,&
{'3'},{'0'},,&,426.0,&
{'0'},{'4'},,&,75.0,&
{'2'},{'0'},{'1'},&,2013.0,&
{'0'},{'2'},,&,2513.0,&
{'0'},{'3'},,&,1353.0,&
{'0'},{'1'},{'0'},&,23.0,&
{'3'},{'0'},{'1'},&,530.0,&
{'1'},{'2'},,&,3296.0,&
{'1'},{'2'},{'0'},&,5358.0,&
{'0'},{'0'},{'0'},&,634.0,&
{'1'},{'3'},,&,116.0,&
{'2'},{'1'},{'3'},&,2361.0,&
{'1'},{'0'},{'3'},&,643.0,&
{'2'},{'0'},{'3'},&,1441.0,&
{'0'},{'3'},{'1'},&,1306.0,&
{'2'},{'3'},{'1'},&,847.0,&
{'3'},{'3'},{'3'},&,160.0,&
{'3'},{'0'},{'2'},&,607.0,&
{'0'},{'3'},{'2'},&,2250.0,&
{'1'},{'2'},{'4'},&,77.0,&
{'2'},{'4'},,&,13.0,&
{'1'},{'4'},{'4'},&,27.0,&
{'2'},{'1'},{'4'},&,84.0,&
{'3'},{'3'},{'0'},&,13.0,&
{'1'},{'3'},{'2'},&,368.0,&
{'3'},{'1'},,&,101.0,&
{'5'},,,&,41.0,&
{'0'},{'0'},{'3'},&,26.0,&
{'0'},{'2'},{'3'},&,1716.0,&
{'1'},{'3'},{'0'},&,231.0,&
{'0'},{'4'},{'4'},&,130.0,&
{'3'},{'2'},{'0'},&,428.0,&
{'1'},{'2'},{'3'},&,1042.0,&
{'3'},{'1'},{'0'},&,279.0,&
{'1'},{'0'},{'4'},&,34.0,&
{'3'},{'1'},{'2'},&,311.0,&
{'3'},{'2'},,&,192.0,&
{'2'},{'3'},,&,269.0,&
{'0'},{'3'},{'4'},&,76.0,&
{'2'},{'0'},{'2'},&,40.0,&
{'4'},{'1'},{'2'},&,5.0,&
{'2'},{'1'},{'2'},&,35.0,&
{'2'},{'5'},,&,3.0,&
{'0'},{'5'},{'1'},&,2.0,&
