VoteKit RankProfile
Candidates
(writein:0),(Mary Merrill Anderson:1),(Nancy Bernard:2),(John Butler:3),(John Erwin:4),(Bob Fine:5),(Tom Nordyke:6),(David Wahstedt:7),(Annie Young:8)
Max Ranking Length
3
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,&,Weight,&
{'0'},,,&,139.0,&
{'0'},{'0'},{'0'},&,17.0,&
{'1'},{'0'},,&,5.0,&
{'1'},{'2'},{'3'},&,22.0,&
{'1'},{'2'},{'4'},&,17.0,&
{'1'},{'2'},{'5'},&,26.0,&
{'1'},{'2'},{'6'},&,22.0,&
{'1'},{'2'},{'7'},&,15.0,&
{'1'},{'2'},,&,35.0,&
{'1'},{'2'},{'8'},&,176.0,&
{'1'},{'0'},{'3'},&,1.0,&
{'1'},{'3'},{'2'},&,19.0,&
{'1'},{'3'},{'4'},&,12.0,&
{'1'},{'3'},{'5'},&,15.0,&
{'1'},{'3'},{'6'},&,11.0,&
{'1'},{'3'},{'7'},&,14.0,&
{'1'},{'3'},,&,10.0,&
{'1'},{'3'},{'8'},&,27.0,&
{'1'},{'4'},{'2'},&,13.0,&
{'1'},{'4'},{'3'},&,12.0,&
{'1'},{'4'},{'5'},&,82.0,&
{'1'},{'4'},{'0'},&,1.0,&
{'1'},{'4'},{'6'},&,593.0,&
{'1'},{'4'},{'7'},&,11.0,&
{'1'},{'4'},,&,90.0,&
{'1'},{'4'},{'8'},&,227.0,&
{'1'},{'5'},{'2'},&,58.0,&
{'1'},{'5'},{'3'},&,20.0,&
{'1'},{'5'},{'0'},&,3.0,&
{'1'},{'5'},{'4'},&,77.0,&
{'1'},{'5'},{'6'},&,86.0,&
{'1'},{'5'},{'7'},&,29.0,&
{'1'},{'5'},,&,187.0,&
{'1'},{'5'},{'8'},&,159.0,&
{'1'},{'0'},{'0'},&,1.0,&
{'1'},{'6'},{'2'},&,30.0,&
{'1'},{'6'},{'3'},&,6.0,&
{'1'},{'6'},{'4'},&,297.0,&
{'1'},{'6'},{'5'},&,92.0,&
{'1'},{'6'},{'6'},&,1.0,&
{'1'},{'6'},{'7'},&,23.0,&
{'1'},{'6'},,&,75.0,&
{'1'},{'6'},{'8'},&,120.0,&
{'1'},{'7'},{'2'},&,15.0,&
{'1'},{'7'},{'3'},&,12.0,&
{'1'},{'7'},{'4'},&,13.0,&
{'1'},{'7'},{'5'},&,18.0,&
{'1'},{'7'},{'6'},&,17.0,&
{'1'},{'7'},,&,32.0,&
{'1'},{'7'},{'8'},&,30.0,&
{'1'},,,&,1484.0,&
{'1'},{'8'},{'2'},&,339.0,&
{'1'},{'8'},{'0'},&,5.0,&
{'1'},{'8'},{'3'},&,26.0,&
{'1'},{'8'},{'4'},&,155.0,&
{'1'},{'8'},{'5'},&,147.0,&
{'1'},{'8'},{'6'},&,155.0,&
{'1'},{'8'},{'7'},&,33.0,&
{'1'},{'8'},,&,193.0,&
{'0'},{'4'},{'1'},&,1.0,&
{'0'},{'2'},{'7'},&,1.0,&
{'2'},{'1'},{'3'},&,14.0,&
{'2'},{'1'},{'4'},&,18.0,&
{'2'},{'1'},{'5'},&,23.0,&
{'2'},{'1'},{'6'},&,15.0,&
{'2'},{'1'},{'7'},&,20.0,&
{'2'},{'1'},,&,38.0,&
{'2'},{'1'},{'8'},&,277.0,&
{'2'},{'3'},{'1'},&,27.0,&
{'2'},{'3'},{'4'},&,17.0,&
{'2'},{'3'},{'5'},&,11.0,&
{'2'},{'3'},{'6'},&,8.0,&
{'2'},{'3'},{'7'},&,14.0,&
{'2'},{'3'},,&,17.0,&
{'2'},{'3'},{'8'},&,19.0,&
{'2'},{'4'},{'1'},&,9.0,&
{'2'},{'4'},{'3'},&,2.0,&
{'2'},{'4'},{'5'},&,13.0,&
{'2'},{'4'},{'0'},&,1.0,&
{'2'},{'4'},{'6'},&,19.0,&
{'2'},{'4'},{'7'},&,10.0,&
{'2'},{'4'},,&,16.0,&
{'2'},{'4'},{'8'},&,22.0,&
{'2'},{'5'},{'1'},&,25.0,&
{'2'},{'5'},{'3'},&,10.0,&
{'2'},{'5'},{'4'},&,17.0,&
{'2'},{'5'},{'6'},&,14.0,&
