VoteKit RankProfile
Candidates
(Meg Forney:0),(Latrisha Vetaw:1),(Devin Hogan:2),(Mike Derus:3),(Russ Henry:4),(Londel French:5),(Jonathan Honerbrink:6),(Charlie Casserly:7),(Bob Sullentrop:8),(writein:9),(overvote:10),(Scott Vreeland:11)
Max Ranking Length
3
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,&,Weight,&
{'0'},{'1'},{'2'},&,407.0,&
{'0'},{'3'},{'1'},&,1280.0,&
{'4'},{'2'},{'5'},&,784.0,&
{'0'},,,&,5243.0,&
{'1'},{'2'},{'4'},&,307.0,&
{'1'},{'0'},,&,1448.0,&
{'0'},{'1'},{'3'},&,1523.0,&
{'0'},{'4'},,&,175.0,&
{'4'},{'5'},{'1'},&,460.0,&
{'5'},{'1'},{'2'},&,589.0,&
{'1'},{'5'},,&,690.0,&
{'1'},{'0'},{'5'},&,1577.0,&
{'1'},{'3'},{'4'},&,87.0,&
{'2'},{'6'},{'4'},&,22.0,&
{'4'},{'5'},{'2'},&,1260.0,&
{'1'},{'3'},{'5'},&,152.0,&
{'3'},{'2'},{'1'},&,79.0,&
{'0'},{'7'},{'1'},&,124.0,&
{'7'},,,&,996.0,&
{'5'},,,&,2102.0,&
{'1'},{'2'},{'5'},&,818.0,&
{'3'},{'1'},{'0'},&,730.0,&
{'0'},{'1'},{'4'},&,380.0,&
{'4'},{'1'},{'5'},&,514.0,&
{'7'},{'3'},{'0'},&,260.0,&
{'1'},{'5'},{'2'},&,1146.0,&
{'0'},{'1'},{'5'},&,952.0,&
{'2'},{'5'},{'4'},&,726.0,&
{'5'},{'1'},{'4'},&,601.0,&
{'7'},{'1'},{'5'},&,31.0,&
{'1'},{'3'},{'0'},&,842.0,&
{'6'},{'5'},{'2'},&,12.0,&
{'8'},{'3'},,&,26.0,&
{'2'},,,&,933.0,&
{'2'},{'4'},,&,86.0,&
{'1'},{'5'},{'4'},&,808.0,&
{'0'},{'2'},{'3'},&,124.0,&
{'0'},{'0'},{'0'},&,164.0,&
{'0'},{'5'},{'1'},&,333.0,&
{'1'},,,&,3105.0,&
{'0'},{'4'},{'3'},&,185.0,&
{'1'},{'5'},{'0'},&,1006.0,&
{'1'},{'4'},{'2'},&,307.0,&
{'5'},{'2'},{'4'},&,1415.0,&
{'4'},{'1'},{'2'},&,369.0,&
{'1'},{'4'},{'8'},&,11.0,&
{'7'},{'3'},{'6'},&,63.0,&
{'0'},{'3'},{'7'},&,358.0,&
{'1'},{'4'},{'0'},&,318.0,&
{'1'},{'0'},{'7'},&,313.0,&
{'0'},{'1'},,&,1249.0,&
{'3'},{'3'},{'9'},&,1.0,&
{'1'},{'2'},,&,137.0,&
{'1'},{'1'},{'1'},&,186.0,&
{'0'},{'3'},,&,970.0,&
{'2'},{'5'},{'1'},&,371.0,&
{'0'},{'3'},{'8'},&,96.0,&
{'0'},{'6'},,&,67.0,&
{'0'},{'2'},{'4'},&,139.0,&
{'0'},{'3'},{'2'},&,185.0,&
{'3'},{'4'},,&,132.0,&
{'2'},{'3'},{'7'},&,36.0,&
{'0'},{'3'},{'5'},&,251.0,&
{'6'},,,&,655.0,&
{'0'},{'3'},{'6'},&,145.0,&
{'3'},{'2'},{'4'},&,98.0,&
{'5'},{'4'},{'1'},&,480.0,&
{'1'},{'0'},{'3'},&,1094.0,&
{'5'},{'4'},,&,270.0,&
{'3'},{'3'},{'3'},&,138.0,&
{'3'},,,&,2777.0,&
{'3'},{'7'},{'1'},&,35.0,&
{'1'},{'4'},{'5'},&,545.0,&
{'0'},{'5'},{'4'},&,185.0,&
{'0'},{'2'},,&,122.0,&
{'4'},{'1'},,&,191.0,&
{'6'},{'8'},{'0'},&,56.0,&
{'1'},{'3'},,&,163.0,&
{'2'},{'4'},{'5'},&,471.0,&
{'3'},{'0'},,&,786.0,&
{'2'},{'0'},,&,112.0,&
{'1'},{'5'},{'3'},&,241.0,&
{'2'},{'1'},{'0'},&,211.0,&
{'4'},{'5'},,&,229.0,&
{'3'},{'1'},{'7'},&,65.0,&
{'1'},{'4'},{'1'},&,3.0,&
{'6'},{'3'},{'4'},&,31.0,&
{'1'},{'0'},{'4'},&,380.0,&
