VoteKit RankProfile
Candidates
(Meg Forney:0),(Mary McKelvey:1),(Alicia D. Smith:2),(Charles Rucker:3),(Katherine Kelly:4),(Tom Olsen:5),(Londel French:6),(overvote:7),(writein:8)
Max Ranking Length
3
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,&,Weight,&
{'0'},{'1'},{'2'},&,2700.0,&
{'2'},{'3'},{'0'},&,211.0,&
{'4'},,,&,2231.0,&
{'0'},,,&,9777.0,&
{'4'},{'2'},{'0'},&,476.0,&
{'5'},{'6'},{'2'},&,3900.0,&
{'5'},{'6'},,&,1473.0,&
{'5'},{'2'},,&,459.0,&
{'1'},,,&,2819.0,&
{'3'},,,&,2940.0,&
{'6'},,,&,3276.0,&
{'5'},,,&,4740.0,&
{'0'},{'3'},,&,535.0,&
{'3'},{'1'},,&,395.0,&
{'1'},{'0'},{'2'},&,1297.0,&
{'2'},{'5'},{'0'},&,333.0,&
{'0'},{'3'},{'2'},&,385.0,&
{'0'},{'6'},,&,449.0,&
{'6'},{'0'},{'0'},&,6.0,&
{'0'},{'1'},,&,1124.0,&
{'0'},{'3'},{'1'},&,1125.0,&
{'2'},{'3'},{'6'},&,156.0,&
{'4'},{'0'},{'2'},&,356.0,&
{'0'},{'1'},{'3'},&,3366.0,&
{'1'},{'0'},{'3'},&,782.0,&
{'3'},{'1'},{'0'},&,519.0,&
{'3'},{'0'},{'1'},&,488.0,&
{'5'},{'1'},{'0'},&,557.0,&
{'0'},{'2'},{'4'},&,1191.0,&
{'6'},{'1'},{'0'},&,190.0,&
{'5'},{'0'},,&,643.0,&
{'4'},{'2'},{'5'},&,109.0,&
{'0'},{'1'},{'6'},&,208.0,&
{'1'},{'3'},{'6'},&,40.0,&
{'0'},{'2'},{'1'},&,1223.0,&
{'5'},{'0'},{'1'},&,509.0,&
{'2'},,,&,3072.0,&
{'2'},{'1'},,&,198.0,&
{'1'},{'2'},{'0'},&,509.0,&
{'6'},{'5'},,&,1553.0,&
{'7'},{'1'},{'0'},&,4.0,&
{'6'},{'5'},{'1'},&,203.0,&
{'1'},{'0'},,&,897.0,&
{'0'},{'2'},,&,849.0,&
{'4'},{'0'},{'1'},&,296.0,&
{'2'},{'1'},{'0'},&,586.0,&
