5,2,
281,1,
3915,1,2,
367,1,2,3,4,
26,1,2,3,4,5,
4,1,2,3,5,4,
1,1,2,4,3,
4,1,2,4,3,5,
5,1,2,5,3,4,
6,1,2,5,4,3,
39,1,3,
7,1,3,2,4,5,
1,1,3,2,5,4,
2,1,3,4,
2,1,3,4,2,
7,1,3,4,2,5,
3,1,3,4,5,2,
5,1,3,5,
14,1,3,5,2,4,
9,1,4,
2,1,4,2,3,5,
1,1,4,3,2,
1,1,4,3,2,5,
1,1,4,3,5,2,
3,1,4,5,
1,1,4,5,2,3,
3,1,4,5,3,2,
15,1,5,
9,1,5,2,3,4,
5,1,5,2,4,3,
6,1,5,3,2,4,
3,1,5,3,4,2,
4,1,5,4,2,3,
1,1,5,4,3,2,
44,2,
46,2,1,
1,2,1,3,4,
4,2,1,3,4,5,
3,2,1,4,3,5,
2,2,1,5,
1,2,1,5,3,4,
2,2,1,5,4,3,
8,2,3,
1,2,3,1,4,
1,2,3,1,4,5,
1,2,3,1,5,4,
2,2,3,4,1,5,
3,2,3,4,5,1,
2,2,3,5,1,4,
2,2,3,5,4,1,
3,2,4,
4,2,4,1,3,5,
1,2,4,3,1,
1,2,4,3,5,1,
1,2,4,5,1,3,
1,2,4,5,3,1,
4,2,5,
1,2,5,1,3,4,
1,2,5,3,1,4,
1,2,5,4,1,3,
1,2,5,4,3,1,
171,3,
28,3,1,
12,3,1,2,4,5,
2,3,1,2,5,4,
1,3,1,4,
1,3,1,4,2,
17,3,1,4,2,5,
5,3,1,4,5,2,
1,3,1,5,
2,3,1,5,2,4,
4,3,1,5,4,2,
13,3,2,
4,3,2,1,4,5,
4,3,2,1,5,4,
7,3,2,4,1,5,
3,3,2,4,5,1,
5540,3,4,
347,3,4,1,2,
31,3,4,1,2,5,
5,3,4,1,5,2,
1,3,4,2,1,
4,3,4,2,1,5,
2,3,4,2,5,1,
5,3,4,5,
30,3,4,5,1,2,
20,3,4,5,2,1,
28,3,5,
5,3,5,1,2,4,
3,3,5,1,4,2,
5,3,5,2,1,4,
2,3,5,2,4,1,
1,3,5,4,
10,3,5,4,1,2,
9,3,5,4,2,1,
38,4,
5,4,1,
1,4,1,3,2,
4,4,1,3,2,5,
2,4,2,
1,4,2,3,1,
2,4,2,3,1,5,
1,4,2,3,5,1,
40,4,3,
1,4,3,1,2,
7,4,3,1,2,5,
3,4,3,1,5,2,
1,4,3,2,
1,4,3,2,1,
1,4,3,2,5,1,
1,4,3,5,
8,4,3,5,1,2,
5,4,3,5,2,1,
7,4,5,
2,4,5,1,2,3,
2,4,5,1,3,2,
3,4,5,2,3,1,
1,4,5,3,
1,4,5,3,1,2,
352,5,
20,5,1,
2,5,1,2,
28,5,1,2,3,4,
2,5,1,2,4,3,
1,5,1,3,
8,5,1,3,2,4,
2,5,1,3,4,2,
2,5,1,4,2,3,
1,5,1,4,3,
4,5,2,
7,5,2,1,3,4,
5,5,2,1,4,3,
2,5,2,3,1,4,
3,5,2,3,4,1,
1,5,2,4,1,3,
3,5,2,4,3,1,
16,5,3,
3,5,3,1,
3,5,3,1,2,4,
7,5,3,1,4,2,
1,5,3,2,
1,5,3,2,1,4,
1,5,3,2,4,1,
4,5,3,4,
35,5,3,4,1,2,
11,5,3,4,2,1,
14,5,4,
2,5,4,1,2,3,
4,5,4,1,3,2,
1,5,4,2,1,3,
1,5,4,2,3,1,
3,5,4,3,1,2,
15,5,4,3,2,1,
Candidate 1,FORNARI-ORSMOND Chantelle,A,
Candidate 2,MUGFORD Peter,A,
Candidate 3,MCDONALD Duncan,B,
Candidate 4,MCDONALD Alexander,B,
Candidate 5,LYNCH Stephen,UG,
NSW Local Government 2012 Ku-ring-gai Council - Wahroonga Ward,
