6,3,
1,1,
222,1,2,
65,1,2,3,
4,1,2,3,4,
1,1,2,3,4,5,
92,1,2,3,4,5,6,
4,1,2,3,5,
7,1,2,3,5,4,6,
3,1,2,3,5,6,4,
1,1,2,3,6,
1,1,2,3,6,4,5,
5,1,2,3,6,5,4,
14,1,2,4,
2,1,2,4,3,
5,1,2,4,3,5,6,
2,1,2,4,3,6,5,
3,1,2,4,5,3,6,
3,1,2,4,6,3,5,
18,1,2,5,
3,1,2,5,3,
3,1,2,5,3,4,6,
4,1,2,5,4,3,6,
1,1,2,5,6,3,4,
2,1,2,5,6,4,3,
2,1,2,6,
4,1,2,6,3,4,5,
1,1,2,6,3,5,4,
1,1,2,6,5,
2,1,2,6,5,3,4,
3,1,2,6,5,4,3,
361,1,3,
25,1,3,2,
25,1,3,2,4,5,6,
4,1,3,2,4,6,5,
3,1,3,2,5,4,6,
3,1,3,2,5,6,4,
2,1,3,2,6,5,4,
25,1,3,4,
5,1,3,4,2,5,6,
2,1,3,4,5,
1,1,3,4,5,2,6,
2,1,3,4,5,6,2,
46,1,3,5,
8,1,3,5,2,4,6,
3,1,3,5,2,6,4,
2,1,3,5,4,
4,1,3,5,4,2,6,
1,1,3,5,6,
3,1,3,5,6,2,4,
7,1,3,5,6,4,2,
12,1,3,6,
1,1,3,6,2,4,5,
1,1,3,6,2,5,4,
1,1,3,6,4,2,5,
1,1,3,6,4,5,2,
4,1,3,6,5,2,4,
2,1,3,6,5,4,2,
108,1,4,
15,1,4,2,
12,1,4,2,3,5,6,
1,1,4,2,5,3,6,
1,1,4,2,5,6,3,
1,1,4,2,6,3,
13,1,4,3,
6,1,4,3,2,5,6,
2,1,4,3,2,6,5,
3,1,4,3,5,2,6,
2,1,4,3,5,6,2,
1,1,4,3,6,2,
1,1,4,3,6,5,2,
20,1,4,5,
1,1,4,5,2,
3,1,4,5,2,3,6,
1,1,4,5,3,2,6,
1,1,4,5,6,3,2,
17,1,4,6,
1,1,4,6,2,3,5,
1,1,4,6,5,2,3,
188,1,5,
25,1,5,2,
1,1,5,2,3,
1,1,5,2,3,4,
8,1,5,2,3,4,6,
2,1,5,2,3,6,
2,1,5,2,3,6,4,
4,1,5,2,4,3,6,
2,1,5,2,4,6,3,
3,1,5,2,6,3,4,
28,1,5,3,
10,1,5,3,2,4,6,
3,1,5,3,2,6,4,
1,1,5,3,4,
4,1,5,3,4,2,6,
1,1,5,3,6,2,4,
2,1,5,3,6,4,2,
18,1,5,4,
4,1,5,4,2,3,6,
5,1,5,4,3,2,6,
1,1,5,4,6,2,3,
2,1,5,4,6,3,2,
17,1,5,6,
1,1,5,6,2,3,4,
2,1,5,6,3,2,4,
1,1,5,6,4,2,3,
3,1,5,6,4,3,2,
67,1,6,
10,1,6,2,
6,1,6,2,3,4,5,
2,1,6,2,3,5,4,
1,1,6,2,4,5,3,
2,1,6,2,5,4,3,
4,1,6,3,
2,1,6,3,4,2,5,
1,1,6,3,4,5,2,
3,1,6,3,5,2,4,
3,1,6,4,
13,1,6,5,
3,1,6,5,2,3,4,
1,1,6,5,2,4,3,
1,1,6,5,3,
1,1,6,5,3,2,4,
1,1,6,5,3,4,2,
1,1,6,5,4,2,3,
4,1,6,5,4,3,2,
95,2,1,
14,2,1,3,
1,2,1,3,4,
18,2,1,3,4,5,6,
1,2,1,3,5,
3,2,1,3,5,4,6,
6,2,1,3,5,6,4,
2,2,1,3,6,
2,2,1,3,6,4,5,
6,2,1,3,6,5,4,
11,2,1,4,
1,2,1,4,3,
4,2,1,4,3,5,6,
1,2,1,4,3,6,5,
1,2,1,4,5,6,
1,2,1,4,5,6,3,
14,2,1,5,
2,2,1,5,3,
3,2,1,5,3,4,6,
2,2,1,5,4,3,6,
1,2,1,5,4,6,3,
3,2,1,5,6,4,3,
4,2,1,6,
1,2,1,6,3,
2,2,1,6,3,4,5,
1,2,1,6,4,3,5,
1,2,1,6,5,3,4,
2,2,1,6,5,4,3,
61,2,3,
8,2,3,1,
8,2,3,1,4,5,6,
1,2,3,1,4,6,5,
2,2,3,1,5,4,6,
