6,1,
2245,1,
33,1,2,
2,1,2,3,
3,1,2,3,4,5,
67,1,2,3,4,5,6,
1,1,2,3,4,6,5,
3,1,2,3,5,4,6,
5,1,2,3,5,6,4,
2,1,2,3,6,4,5,
3,1,2,3,6,5,4,
6,1,2,4,
1,1,2,4,3,5,
10,1,2,4,3,5,6,
3,1,2,4,3,6,5,
5,1,2,4,5,3,6,
4,1,2,4,5,6,3,
1,1,2,4,6,
2,1,2,4,6,3,5,
1,1,2,4,6,5,3,
3,1,2,5,3,4,6,
1,1,2,5,3,6,4,
1,1,2,5,6,
3,1,2,5,6,3,4,
3,1,2,6,
1,1,2,6,3,4,5,
1,1,2,6,3,5,4,
2,1,2,6,4,3,5,
2,1,2,6,5,3,4,
2,1,2,6,5,4,3,
294,1,3,
2,1,3,2,
28,1,3,2,4,5,6,
12,1,3,2,4,6,5,
4,1,3,2,5,4,6,
2,1,3,2,5,6,4,
1,1,3,2,6,
1,1,3,2,6,4,5,
1,1,3,2,6,5,
5,1,3,2,6,5,4,
9,1,3,4,
9,1,3,4,2,5,6,
9,1,3,4,2,6,5,
1,1,3,4,5,
10,1,3,4,5,2,6,
28,1,3,4,5,6,2,
1,1,3,4,6,
5,1,3,4,6,2,5,
15,1,3,4,6,5,2,
9,1,3,5,
2,1,3,5,2,
6,1,3,5,2,4,6,
1,1,3,5,2,6,
3,1,3,5,2,6,4,
8,1,3,5,4,2,6,
16,1,3,5,4,6,2,
12,1,3,5,6,
2,1,3,5,6,2,
21,1,3,5,6,2,4,
1,1,3,5,6,4,
73,1,3,5,6,4,2,
21,1,3,6,
6,1,3,6,2,4,5,
4,1,3,6,2,5,4,
1,1,3,6,4,
6,1,3,6,4,2,5,
1,1,3,6,4,5,
11,1,3,6,4,5,2,
15,1,3,6,5,
5,1,3,6,5,2,4,
4,1,3,6,5,4,
495,1,3,6,5,4,2,
77,1,4,
8,1,4,2,
27,1,4,2,3,5,6,
7,1,4,2,3,6,5,
7,1,4,2,5,3,6,
2,1,4,2,5,6,3,
1,1,4,2,6,
2,1,4,2,6,3,5,
1,1,4,2,6,5,3,
4,1,4,3,
9,1,4,3,2,5,6,
4,1,4,3,2,6,5,
1,1,4,3,5,2,6,
5,1,4,3,5,6,2,
1,1,4,3,6,
1,1,4,3,6,2,5,
6,1,4,3,6,5,2,
4,1,4,5,2,3,6,
3,1,4,5,3,2,6,
1,1,4,5,3,6,2,
4,1,4,5,6,2,3,
7,1,4,5,6,3,2,
4,1,4,6,
1,1,4,6,2,3,5,
2,1,4,6,2,5,3,
3,1,4,6,3,2,5,
3,1,4,6,3,5,2,
4,1,4,6,5,2,3,
6,1,4,6,5,3,2,
62,1,5,
1,1,5,2,
5,1,5,2,3,4,6,
1,1,5,2,3,6,4,
1,1,5,2,6,3,4,
1,1,5,2,6,4,3,
1,1,5,3,
2,1,5,3,4,2,6,
4,1,5,3,4,6,2,
4,1,5,3,6,
2,1,5,3,6,2,4,
14,1,5,3,6,4,2,
3,1,5,4,2,3,6,
5,1,5,4,3,2,6,
3,1,5,4,3,6,2,
3,1,5,4,6,2,3,
9,1,5,6,
4,1,5,6,2,3,4,
1,1,5,6,2,4,3,
5,1,5,6,3,
1,1,5,6,3,2,
10,1,5,6,3,2,4,
1,1,5,6,3,4,
21,1,5,6,3,4,2,
2,1,5,6,4,2,3,
5,1,5,6,4,3,2,
131,1,6,
2,1,6,2,3,4,5,
4,1,6,2,3,5,4,
1,1,6,2,4,
2,1,6,2,4,3,5,
3,1,6,2,4,5,3,
1,1,6,2,5,
1,1,6,2,5,3,4,
2,1,6,2,5,4,3,
6,1,6,3,
3,1,6,3,2,4,5,
1,1,6,3,2,5,4,
1,1,6,3,4,2,
7,1,6,3,4,2,5,
12,1,6,3,4,5,2,
2,1,6,3,5,
8,1,6,3,5,2,4,
1,1,6,3,5,4,
34,1,6,3,5,4,2,
4,1,6,4,
5,1,6,4,2,3,5,
3,1,6,4,2,5,3,
1,1,6,4,3,
3,1,6,4,3,2,5,
5,1,6,4,5,2,3,
9,1,6,4,5,3,2,
11,1,6,5,
7,1,6,5,2,3,4,
2,1,6,5,2,4,3,
3,1,6,5,3,
1,1,6,5,3,2,
20,1,6,5,3,2,4,
44,1,6,5,3,4,2,
6,1,6,5,4,2,3,
1,1,6,5,4,3,
27,1,6,5,4,3,2,
977,2,
22,2,1,
2,2,1,3,
2,2,1,3,4,
1,2,1,3,4,5,
12,2,1,3,4,5,6,
7,2,1,3,4,6,5,
3,2,1,3,5,4,6,
1,2,1,3,5,6,
5,2,1,3,5,6,4,
1,2,1,3,6,4,5,
2,2,1,3,6,5,4,
7,2,1,4,
13,2,1,4,3,5,6,
7,2,1,4,3,6,5,
1,2,1,4,5,
1,2,1,4,5,3,
2,2,1,4,5,3,6,
3,2,1,4,5,6,3,
1,2,1,4,6,3,5,
2,2,1,4,6,5,3,
1,2,1,5,3,6,4,
1,2,1,5,4,6,3,
1,2,1,5,6,3,4,
1,2,1,5,6,4,3,
1,2,1,6,3,4,5,
1,2,1,6,4,3,5,
1,2,1,6,4,5,3,
2,2,1,6,5,3,4,
4,2,1,6,5,4,3,
15,2,3,
1,2,3,1,
4,2,3,1,4,5,6,
1,2,3,1,4,6,5,
2,2,3,1,5,6,4,
1,2,3,1,6,4,5,
1,2,3,4,
5,2,3,4,1,5,6,
6,2,3,4,1,6,5,
2,2,3,4,5,1,6,
5,2,3,4,5,6,1,
1,2,3,5,1,6,4,
1,2,3,5,6,1,4,
1,2,3,5,6,4,1,
2,2,3,6,4,1,5,
1,2,3,6,5,1,4,
735,2,4,
16,2,4,1,
2,2,4,1,3,
56,2,4,1,3,5,6,
31,2,4,1,3,6,5,
9,2,4,1,5,3,6,
2,2,4,1,5,6,
13,2,4,1,5,6,3,
9,2,4,1,6,3,5,
2,2,4,1,6,5,
9,2,4,1,6,5,3,
3,2,4,3,
4,2,4,3,1,
25,2,4,3,1,5,6,
1,2,4,3,1,6,
16,2,4,3,1,6,5,
9,2,4,3,5,1,6,
10,2,4,3,5,6,1,
1,2,4,3,6,
3,2,4,3,6,1,5,
5,2,4,3,6,5,1,
3,2,4,5,
1,2,4,5,1,
4,2,4,5,1,3,6,
1,2,4,5,1,6,
3,2,4,5,1,6,3,
1,2,4,5,3,
7,2,4,5,3,1,6,
5,2,4,5,3,6,1,
12,2,4,5,6,1,3,
12,2,4,5,6,3,1,
10,2,4,6,
5,2,4,6,1,3,5,
5,2,4,6,1,5,3,
5,2,4,6,3,1,5,
5,2,4,6,3,5,1,
2,2,4,6,5,
6,2,4,6,5,1,3,
19,2,4,6,5,3,1,
10,2,5,
2,2,5,1,3,6,4,
2,2,5,1,6,3,4,
1,2,5,3,4,1,6,
1,2,5,3,6,4,1,
2,2,5,4,
2,2,5,4,1,3,6,
1,2,5,4,1,6,3,
1,2,5,4,3,1,6,
1,2,5,4,3,6,1,
1,2,5,4,6,1,3,
2,2,5,4,6,3,1,
1,2,5,6,
1,2,5,6,1,4,3,
1,2,5,6,3,1,
2,2,5,6,3,1,4,
1,2,5,6,3,4,1,
2,2,5,6,4,1,3,
3,2,5,6,4,3,1,
14,2,6,
1,2,6,1,3,
1,2,6,1,3,4,5,
1,2,6,1,3,5,4,
1,2,6,1,5,3,4,
1,2,6,3,1,4,5,
1,2,6,3,1,5,4,
1,2,6,3,4,
1,2,6,3,4,1,5,
3,2,6,4,
1,2,6,4,1,
1,2,6,4,1,3,5,
1,2,6,4,1,5,
2,2,6,4,3,1,5,
1,2,6,4,5,1,3,
1,2,6,4,5,3,1,
2,2,6,5,1,3,4,
1,2,6,5,3,1,4,
2,2,6,5,4,3,1,
1076,3,
229,3,1,
2,3,1,2,
23,3,1,2,4,5,6,
5,3,1,2,4,6,5,
3,3,1,2,5,4,6,
1,3,1,2,5,6,4,
2,3,1,2,6,4,5,
1,3,1,2,6,5,
7,3,1,4,
14,3,1,4,2,5,6,
4,3,1,4,2,6,5,
