6,1,
1091,1,
40,1,2,
12,1,2,3,
8,1,2,3,4,
8,1,2,3,4,5,
211,1,2,3,4,5,6,
19,1,2,3,4,6,5,
7,1,2,3,5,4,6,
1,1,2,3,5,6,
6,1,2,3,5,6,4,
12,1,2,3,6,4,5,
10,1,2,3,6,5,4,
1,1,2,4,
5,1,2,4,3,5,6,
2,1,2,4,3,6,5,
2,1,2,4,5,3,6,
5,1,2,4,5,6,3,
2,1,2,4,6,3,5,
1,1,2,5,
1,1,2,5,3,4,6,
1,1,2,5,3,6,4,
6,1,2,5,6,3,4,
1,1,2,6,
3,1,2,6,3,4,5,
1,1,2,6,3,5,4,
1,1,2,6,4,3,
1,1,2,6,4,3,5,
1,1,2,6,4,5,
2,1,2,6,5,3,4,
1,1,2,6,5,4,
3,1,2,6,5,4,3,
43,1,3,
2,1,3,2,
17,1,3,2,4,5,6,
11,1,3,2,4,6,5,
1,1,3,2,5,
5,1,3,2,5,4,6,
3,1,3,2,5,6,4,
14,1,3,2,6,4,5,
15,1,3,2,6,5,4,
2,1,3,4,
4,1,3,4,2,5,6,
1,1,3,4,2,6,5,
4,1,3,4,5,6,2,
1,1,3,4,6,2,5,
3,1,3,4,6,5,2,
7,1,3,5,
4,1,3,5,2,4,6,
4,1,3,5,4,6,2,
4,1,3,5,6,
1,1,3,5,6,2,
13,1,3,5,6,2,4,
10,1,3,5,6,4,2,
10,1,3,6,
1,1,3,6,2,4,
17,1,3,6,2,4,5,
21,1,3,6,2,5,4,
2,1,3,6,4,2,5,
1,1,3,6,4,5,2,
7,1,3,6,5,
1,1,3,6,5,2,
20,1,3,6,5,2,4,
13,1,3,6,5,4,2,
26,1,4,
1,1,4,2,
4,1,4,2,3,5,6,
1,1,4,2,3,6,
5,1,4,2,3,6,5,
1,1,4,2,5,3,6,
1,1,4,2,5,6,3,
3,1,4,2,6,3,5,
1,1,4,2,6,5,3,
1,1,4,3,2,5,
9,1,4,3,2,5,6,
1,1,4,3,5,2,6,
1,1,4,3,5,6,2,
3,1,4,5,
2,1,4,5,2,3,6,
1,1,4,5,3,2,
2,1,4,5,3,2,6,
2,1,4,5,6,2,3,
2,1,4,6,
2,1,4,6,2,3,5,
1,1,4,6,2,5,3,
1,1,4,6,5,2,3,
1,1,4,6,5,3,2,
49,1,5,
10,1,5,2,3,4,6,
7,1,5,2,3,6,4,
1,1,5,2,4,3,
1,1,5,2,4,3,6,
2,1,5,2,6,3,4,
3,1,5,3,
5,1,5,3,2,4,6,
1,1,5,3,2,6,
5,1,5,3,2,6,4,
1,1,5,3,4,2,6,
4,1,5,3,6,2,4,
6,1,5,3,6,4,2,
1,1,5,4,
1,1,5,4,2,3,6,
1,1,5,4,3,2,6,
1,1,5,4,6,2,3,
3,1,5,4,6,3,2,
19,1,5,6,
21,1,5,6,2,3,4,
2,1,5,6,2,4,3,
1,1,5,6,3,2,
13,1,5,6,3,2,4,
1,1,5,6,3,4,
6,1,5,6,3,4,2,
4,1,5,6,4,2,3,
2,1,5,6,4,3,2,
122,1,6,
2,1,6,2,
17,1,6,2,3,4,5,
2,1,6,2,3,5,
27,1,6,2,3,5,4,
3,1,6,2,4,3,5,
1,1,6,2,5,
4,1,6,2,5,3,4,
2,1,6,2,5,4,3,
20,1,6,3,
2,1,6,3,2,
11,1,6,3,2,4,5,
37,1,6,3,2,5,4,
2,1,6,3,4,5,2,
47,1,6,3,5,
49,1,6,3,5,2,4,
29,1,6,3,5,4,2,
3,1,6,4,
5,1,6,4,2,3,5,
3,1,6,4,3,2,5,
2,1,6,4,5,2,3,
2,1,6,4,5,3,2,
93,1,6,5,
1,1,6,5,2,
74,1,6,5,2,3,4,
4,1,6,5,2,4,3,
12,1,6,5,3,
5,1,6,5,3,2,
65,1,6,5,3,2,4,
19,1,6,5,3,4,2,
11,1,6,5,4,2,3,
16,1,6,5,4,3,2,
1575,2,
28,2,1,
3,2,1,3,
1,2,1,3,4,
34,2,1,3,4,5,6,
18,2,1,3,4,6,5,
1,2,1,3,5,4,
6,2,1,3,5,4,6,
3,2,1,3,5,6,4,
1,2,1,3,6,
4,2,1,3,6,4,5,
7,2,1,3,6,5,4,
1,2,1,4,
3,2,1,4,3,5,6,
3,2,1,4,3,6,5,
1,2,1,4,5,3,6,
3,2,1,4,5,6,3,
1,2,1,4,6,3,5,
1,2,1,5,3,4,6,
3,2,1,5,3,6,4,
1,2,1,5,4,3,6,
1,2,1,5,4,6,3,
2,2,1,5,6,3,4,
1,2,1,6,3,
1,2,1,6,3,4,5,
1,2,1,6,3,5,4,
1,2,1,6,4,3,5,
1,2,1,6,4,5,3,
2,2,1,6,5,3,4,
2,2,1,6,5,4,3,
250,2,3,
8,2,3,1,
49,2,3,1,4,5,6,
26,2,3,1,4,6,5,
7,2,3,1,5,4,6,
