6,1,
2351,1,
86,1,2,
26,1,2,3,
11,1,2,3,4,
11,1,2,3,4,5,
389,1,2,3,4,5,6,
17,1,2,3,4,6,5,
1,1,2,3,5,
17,1,2,3,5,4,6,
16,1,2,3,5,6,4,
2,1,2,3,6,4,5,
11,1,2,3,6,5,4,
12,1,2,4,
1,1,2,4,3,5,
32,1,2,4,3,5,6,
9,1,2,4,3,6,5,
15,1,2,4,5,3,6,
11,1,2,4,5,6,3,
3,1,2,4,6,3,5,
6,1,2,4,6,5,3,
2,1,2,5,
1,1,2,5,3,
4,1,2,5,3,4,6,
4,1,2,5,3,6,4,
6,1,2,5,4,3,6,
1,1,2,5,6,
7,1,2,5,6,3,4,
1,1,2,5,6,4,
5,1,2,5,6,4,3,
1,1,2,6,
6,1,2,6,3,4,5,
3,1,2,6,3,5,4,
3,1,2,6,4,3,5,
4,1,2,6,4,5,3,
6,1,2,6,5,3,4,
1,1,2,6,5,4,
3,1,2,6,5,4,3,
90,1,3,
6,1,3,2,
1,1,3,2,4,5,
44,1,3,2,4,5,6,
12,1,3,2,4,6,5,
1,1,3,2,5,4,
5,1,3,2,5,4,6,
8,1,3,2,5,6,4,
3,1,3,2,6,4,5,
6,1,3,2,6,5,4,
11,1,3,4,
1,1,3,4,2,
18,1,3,4,2,5,6,
1,1,3,4,2,6,
5,1,3,4,2,6,5,
11,1,3,4,5,2,6,
1,1,3,4,5,6,
19,1,3,4,5,6,2,
3,1,3,4,6,
3,1,3,4,6,2,5,
6,1,3,4,6,5,2,
9,1,3,5,
6,1,3,5,2,4,6,
1,1,3,5,2,6,
2,1,3,5,2,6,4,
4,1,3,5,4,2,6,
5,1,3,5,4,6,2,
1,1,3,5,6,
2,1,3,5,6,2,
13,1,3,5,6,2,4,
15,1,3,5,6,4,2,
12,1,3,6,
1,1,3,6,2,
6,1,3,6,2,4,5,
3,1,3,6,2,5,4,
1,1,3,6,4,
10,1,3,6,4,2,5,
6,1,3,6,4,5,2,
4,1,3,6,5,2,4,
16,1,3,6,5,4,2,
194,1,4,
4,1,4,2,
1,1,4,2,3,
2,1,4,2,3,5,
60,1,4,2,3,5,6,
23,1,4,2,3,6,5,
1,1,4,2,5,
1,1,4,2,5,3,
28,1,4,2,5,3,6,
8,1,4,2,5,6,3,
5,1,4,2,6,3,5,
9,1,4,2,6,5,3,
12,1,4,3,
40,1,4,3,2,5,6,
16,1,4,3,2,6,5,
1,1,4,3,5,
1,1,4,3,5,2,
6,1,4,3,5,2,6,
1,1,4,3,5,6,
10,1,4,3,5,6,2,
3,1,4,3,6,2,
6,1,4,3,6,2,5,
1,1,4,3,6,5,
8,1,4,3,6,5,2,
15,1,4,5,
1,1,4,5,2,
