6,2,
144,1,
719,1,2,
517,1,2,3,4,
1,1,2,3,4,5,
6,1,2,3,4,5,6,
1,1,2,3,4,6,5,
2,1,2,3,5,4,6,
1,1,2,3,6,4,5,
1,1,2,3,6,5,4,
1,1,2,4,3,5,6,
1,1,2,4,3,6,5,
1,1,2,5,4,6,3,
46,1,3,
1,1,3,2,
4,1,3,2,4,5,6,
4,1,3,2,4,6,5,
1,1,3,2,5,4,6,
1,1,3,4,
1,1,3,4,2,5,6,
1,1,3,4,5,6,2,
2,1,3,4,6,2,5,
1,1,3,4,6,5,2,
6,1,3,5,
3,1,3,5,2,4,6,
1,1,3,5,2,6,4,
2,1,3,5,4,2,6,
1,1,3,5,6,2,4,
3,1,3,5,6,4,2,
1,1,3,6,
1,1,3,6,2,4,5,
1,1,3,6,5,2,4,
2,1,4,
1,1,4,3,
1,1,4,3,2,5,6,
12,1,5,
1,1,5,2,3,4,6,
5,1,5,3,
2,1,5,3,2,4,6,
1,1,5,6,
1,1,5,6,2,3,4,
1,1,5,6,3,
1,1,5,6,3,4,2,
1,1,5,6,4,3,2,
7,1,6,
1,1,6,2,
1,1,6,2,4,5,3,
1,1,6,4,
1,1,6,4,2,3,5,
1,1,6,5,3,4,2,
20,2,
11,2,1,
1,2,1,3,
1,2,1,3,6,5,4,
1,2,1,5,6,3,4,
1,2,3,
1,2,3,4,
2,2,3,5,
1,2,4,
1,2,4,6,5,3,1,
3,2,5,
1,2,5,4,3,6,1,
469,3,
56,3,1,
3,3,1,2,
2,3,1,2,4,
2,3,1,2,4,5,6,
4,3,1,2,4,6,5,
2,3,1,4,
1,3,1,4,2,
2,3,1,4,2,5,6,
2,3,1,4,2,6,5,
1,3,1,4,5,
2,3,1,4,5,2,
2,3,1,4,5,6,2,
5,3,1,5,
1,3,1,5,2,6,4,
1,3,1,5,4,2,6,
1,3,1,5,6,2,4,
2,3,1,5,6,4,2,
3,3,1,6,
2,3,1,6,4,2,5,
1,3,1,6,5,4,2,
17,3,2,
1,3,2,1,4,6,5,
1,3,2,4,1,5,6,
1,3,2,5,
1,3,2,5,4,1,6,
1250,3,4,
2,3,4,1,
158,3,4,1,2,
6,3,4,1,2,5,6,
1,3,4,1,2,6,
3,3,4,1,2,6,5,
1,3,4,1,5,2,6,
2,3,4,1,6,2,5,
1,3,4,1,6,5,2,
2,3,4,2,1,5,6,
1,3,4,2,6,5,1,
3,3,4,5,
1,3,4,5,1,6,2,
3,3,4,5,2,6,1,
4,3,4,5,6,
11,3,4,5,6,1,2,
7,3,4,5,6,2,1,
4,3,4,6,
1,3,4,6,1,2,5,
2,3,4,6,2,1,5,
2,3,4,6,5,
5,3,4,6,5,1,2,
3,3,4,6,5,2,1,
136,3,5,
13,3,5,1,
1,3,5,1,2,4,
3,3,5,1,2,4,6,
1,3,5,1,2,6,4,
3,3,5,1,4,2,6,
5,3,5,1,4,6,2,
2,3,5,1,6,2,4,
5,3,5,1,6,4,2,
2,3,5,2,
1,3,5,2,1,4,6,
2,3,5,2,1,6,4,
1,3,5,2,4,1,6,
1,3,5,2,6,4,1,
3,3,5,4,
3,3,5,4,1,2,6,
2,3,5,4,1,6,2,
1,3,5,4,2,1,6,
2,3,5,4,2,6,1,
6,3,5,4,6,
10,3,5,4,6,1,2,
4,3,5,4,6,2,1,
4,3,5,6,
3,3,5,6,1,2,4,
1,3,5,6,1,4,2,
4,3,5,6,4,
5,3,5,6,4,1,2,
7,3,5,6,4,2,1,
74,3,6,
2,3,6,1,
2,3,6,1,2,4,5,
2,3,6,1,2,5,4,
2,3,6,1,5,2,4,
2,3,6,2,5,4,1,
5,3,6,4,
1,3,6,4,1,2,
1,3,6,4,1,2,5,
2,3,6,4,2,1,5,
2,3,6,4,2,5,1,
5,3,6,4,5,
2,3,6,4,5,1,2,
3,3,6,4,5,2,1,
5,3,6,5,
1,3,6,5,1,2,4,
1,3,6,5,1,4,2,
1,3,6,5,2,4,
1,3,6,5,2,4,1,
5,3,6,5,4,
5,3,6,5,4,1,2,
3,3,6,5,4,2,1,
26,4,
1,4,1,
1,4,1,5,6,3,2,
1,4,2,
15,4,3,
3,4,3,1,2,5,6,
1,4,3,5,
1,4,3,5,6,1,2,
2,4,3,5,6,2,1,
1,4,3,6,2,1,5,
1,4,3,6,5,
4,4,5,
1,4,5,3,2,
1,4,5,3,2,6,1,
1,4,5,3,6,
1,4,5,3,6,2,1,
2,4,5,6,3,1,2,
1,4,5,6,3,2,1,
1,4,6,
1,4,6,3,1,2,5,
1,4,6,3,1,5,2,
1,4,6,5,3,2,1,
282,5,
15,5,1,
2,5,1,2,3,4,6,
1,5,1,2,6,4,3,
1,5,1,3,
1,5,1,3,2,4,6,
1,5,1,3,4,2,6,
1,5,1,3,4,6,2,
1,5,1,3,6,4,2,
1,5,1,4,6,3,2,
1,5,1,6,
1,5,1,6,3,4,2,
2,5,2,
1,5,2,6,1,4,3,
103,5,3,
2,5,3,1,
3,5,3,1,2,4,6,
1,5,3,1,2,6,4,
2,5,3,1,4,2,6,
2,5,3,1,4,6,2,
4,5,3,1,6,4,2,
1,5,3,2,
1,5,3,2,6,1,4,
1,5,3,2,6,4,1,
5,5,3,4,
1,5,3,4,1,2,6,
2,5,3,4,1,6,2,
3,5,3,4,6,
10,5,3,4,6,1,2,
5,5,3,4,6,2,1,
8,5,3,6,
2,5,3,6,1,2,4,
1,5,3,6,2,
1,5,3,6,2,1,4,
6,5,3,6,4,
9,5,3,6,4,1,2,
10,5,3,6,4,2,1,
11,5,4,
1,5,4,1,2,3,6,
1,5,4,2,
2,5,4,3,
2,5,4,3,1,2,6,
1,5,4,3,2,6,1,
3,5,4,3,6,1,2,
1,5,4,3,6,2,1,
2,5,4,6,2,1,3,
1,5,4,6,3,
1,5,4,6,3,2,1,
261,5,6,
3,5,6,1,2,3,4,
5,5,6,1,2,4,3,
1,5,6,1,3,
1,5,6,1,3,2,4,
2,5,6,1,3,4,2,
1,5,6,2,1,3,4,
1,5,6,2,1,4,3,
1,5,6,2,4,1,3,
2,5,6,3,
2,5,6,3,1,2,4,
2,5,6,3,1,4,2,
1,5,6,3,4,
11,5,6,3,4,1,2,
6,5,6,3,4,2,1,
2,5,6,4,
1,5,6,4,2,1,3,
1,5,6,4,3,
6,5,6,4,3,1,2,
5,5,6,4,3,2,1,
243,6,
5,6,1,
1,6,1,2,3,4,5,
2,6,1,3,
2,6,1,3,4,2,5,
1,6,1,3,5,2,4,
1,6,1,3,5,4,2,
1,6,1,5,2,3,4,
1,6,1,5,3,
1,6,1,5,4,3,2,
1,6,2,
1,6,2,3,1,
62,6,3,
2,6,3,1,
1,6,3,1,2,4,5,
1,6,3,1,4,2,5,
1,6,3,1,5,2,4,
1,6,3,1,5,4,2,
1,6,3,2,
2,6,3,2,1,4,5,
1,6,3,2,4,5,1,
1,6,3,2,5,4,1,
3,6,3,4,
1,6,3,4,1,2,5,
1,6,3,4,2,1,
1,6,3,4,2,5,1,
4,6,3,4,5,
4,6,3,4,5,1,2,
6,6,3,4,5,2,1,
4,6,3,5,
1,6,3,5,1,2,4,
1,6,3,5,2,
1,6,3,5,2,1,4,
1,6,3,5,2,4,1,
2,6,3,5,4,
