6,1,
2324,1,
73,1,2,
2,1,2,3,
2,1,2,3,4,
3,1,2,3,4,5,
41,1,2,3,4,5,6,
1,1,2,3,4,6,5,
1,1,2,3,5,6,
3,1,2,3,5,6,4,
2,1,2,3,6,5,4,
2,1,2,4,
6,1,2,4,3,5,6,
3,1,2,4,5,
2,1,2,4,5,3,6,
16,1,2,4,5,6,3,
3,1,2,4,6,
1,1,2,4,6,3,5,
6,1,2,4,6,5,3,
24,1,2,5,
2,1,2,5,3,4,6,
3,1,2,5,3,6,4,
1,1,2,5,4,
1,1,2,5,4,3,6,
10,1,2,5,4,6,3,
2,1,2,5,6,
8,1,2,5,6,3,4,
16,1,2,5,6,4,3,
16,1,2,6,
2,1,2,6,3,4,5,
2,1,2,6,3,5,4,
1,1,2,6,4,3,5,
3,1,2,6,4,5,3,
5,1,2,6,5,3,4,
14,1,2,6,5,4,3,
29,1,3,
4,1,3,2,
1,1,3,2,4,
17,1,3,2,4,5,6,
3,1,3,2,4,6,5,
4,1,3,2,5,4,6,
3,1,3,2,5,6,4,
1,1,3,2,6,4,5,
1,1,3,2,6,5,4,
3,1,3,4,2,5,6,
1,1,3,4,2,6,5,
1,1,3,4,5,
1,1,3,4,5,2,6,
5,1,3,4,5,6,2,
2,1,3,4,6,5,2,
3,1,3,5,
2,1,3,5,2,4,6,
1,1,3,5,4,
2,1,3,5,4,2,6,
1,1,3,5,4,6,2,
3,1,3,5,6,
1,1,3,5,6,2,4,
4,1,3,5,6,4,2,
3,1,3,6,
2,1,3,6,2,4,5,
1,1,3,6,2,5,4,
2,1,3,6,4,2,5,
2,1,3,6,5,
2,1,3,6,5,2,4,
3,1,3,6,5,4,2,
30,1,4,
2,1,4,2,
3,1,4,2,3,5,6,
1,1,4,2,3,6,5,
1,1,4,2,5,3,
2,1,4,2,5,3,6,
4,1,4,2,5,6,3,
3,1,4,2,6,5,3,
1,1,4,3,
5,1,4,3,2,5,6,
4,1,4,3,5,2,6,
1,1,4,3,5,6,2,
2,1,4,5,
2,1,4,5,2,
1,1,4,5,2,3,6,
1,1,4,5,2,6,3,
6,1,4,5,3,2,6,
1,1,4,5,3,6,2,
1,1,4,5,6,
3,1,4,5,6,2,3,
3,1,4,5,6,3,2,
1,1,4,6,3,2,5,
1,1,4,6,5,2,3,
4,1,4,6,5,3,2,
68,1,5,
338,1,5,2,
8,1,5,2,3,4,6,
1,1,5,2,3,6,4,
1,1,5,2,4,
2,1,5,2,4,3,6,
11,1,5,2,4,6,3,
9,1,5,2,6,
10,1,5,2,6,3,4,
27,1,5,2,6,4,3,
3,1,5,3,
3,1,5,3,2,4,6,
1,1,5,3,2,6,4,
2,1,5,3,4,6,2,
3,1,5,4,
2,1,5,4,2,6,3,
2,1,5,4,3,2,6,
1,1,5,4,3,6,2,
5,1,5,4,6,2,3,
16,1,5,6,
6,1,5,6,2,
8,1,5,6,2,3,4,
1,1,5,6,2,4,
9,1,5,6,2,4,3,
1,1,5,6,3,
2,1,5,6,3,2,4,
1,1,5,6,4,
6,1,5,6,4,2,3,
5,1,5,6,4,3,2,
131,1,6,
17,1,6,2,
3,1,6,2,3,4,5,
5,1,6,2,3,5,4,
5,1,6,2,4,5,3,
4,1,6,2,5,
10,1,6,2,5,3,4,
2,1,6,2,5,4,
18,1,6,2,5,4,3,
3,1,6,3,
1,1,6,3,2,
4,1,6,3,2,4,5,
1,1,6,3,2,5,4,
1,1,6,3,4,2,5,
4,1,6,3,4,5,2,
1,1,6,3,5,2,4,
1,1,6,3,5,4,2,
2,1,6,4,
2,1,6,4,2,3,5,
4,1,6,4,2,5,3,
1,1,6,4,3,2,5,
9,1,6,4,5,2,3,
2,1,6,4,5,3,2,
14,1,6,5,
5,1,6,5,2,
21,1,6,5,2,3,4,
1,1,6,5,2,4,
12,1,6,5,2,4,3,
1,1,6,5,3,
1,1,6,5,3,2,
4,1,6,5,3,2,4,
1,1,6,5,3,4,2,
15,1,6,5,4,2,3,
12,1,6,5,4,3,2,
1432,2,
55,2,1,
2,2,1,3,
8,2,1,3,4,5,6,
1,2,1,3,4,6,5,
2,2,1,3,5,4,6,
1,2,1,3,6,5,4,
1,2,1,4,
2,2,1,4,3,5,6,
3,2,1,4,5,3,6,
11,2,1,4,5,6,3,
1,2,1,4,6,5,3,
4,2,1,5,
3,2,1,5,3,4,6,
1,2,1,5,4,3,6,
2,2,1,5,4,6,3,
8,2,1,5,6,3,4,
6,2,1,5,6,4,3,
5,2,1,6,
2,2,1,6,3,4,5,
1,2,1,6,4,
3,2,1,6,4,3,5,
5,2,1,6,4,5,3,
3,2,1,6,5,
1,2,1,6,5,3,4,
10,2,1,6,5,4,3,
17,2,3,
1,2,3,1,
1,2,3,1,4,5,6,
1,2,3,1,4,6,5,
1,2,3,1,6,5,4,
2,2,3,4,
1,2,3,4,5,1,
2,2,3,4,5,6,
16,2,3,4,5,6,1,
1,2,3,4,6,5,1,
1,2,3,5,
1,2,3,5,4,1,6,
3,2,3,5,4,6,1,
1,2,3,5,6,1,4,
3,2,3,5,6,4,1,
5,2,3,6,
1,2,3,6,1,4,5,
1,2,3,6,4,5,1,
1,2,3,6,5,1,
3,2,3,6,5,4,1,
30,2,4,
4,2,4,1,
1,2,4,1,3,5,6,
1,2,4,1,5,3,6,
2,2,4,1,5,6,3,
2,2,4,3,1,5,6,
1,2,4,3,1,6,5,
6,2,4,3,5,6,1,
1,2,4,3,6,5,1,
4,2,4,5,
1,2,4,5,1,
3,2,4,5,1,3,6,
1,2,4,5,1,6,
2,2,4,5,1,6,3,
2,2,4,5,3,
1,2,4,5,3,1,6,
2,2,4,5,3,6,1,
2,2,4,5,6,
3,2,4,5,6,1,3,
9,2,4,5,6,3,1,
2,2,4,6,
1,2,4,6,3,
1,2,4,6,5,
5,2,4,6,5,1,3,
4,2,4,6,5,3,1,
51,2,5,
33,2,5,1,
1,2,5,1,3,4,6,
5,2,5,1,3,6,4,
1,2,5,1,4,
2,2,5,1,4,3,6,
1,2,5,1,4,6,3,
1,2,5,1,6,
7,2,5,1,6,3,4,
6,2,5,1,6,4,3,
3,2,5,3,
1,2,5,3,1,4,6,
3,2,5,3,1,6,4,
3,2,5,3,4,6,1,
1,2,5,3,6,1,4,
5,2,5,4,
2,2,5,4,1,3,6,
2,2,5,4,1,6,3,
2,2,5,4,3,1,6,
4,2,5,4,3,6,1,
2,2,5,4,6,1,3,
13,2,5,4,6,3,1,
7,2,5,6,
1,2,5,6,1,
4,2,5,6,1,3,4,
3,2,5,6,1,4,3,
2,2,5,6,3,
1,2,5,6,3,1,
4,2,5,6,3,1,4,
5,2,5,6,3,4,1,
6,2,5,6,4,1,3,
11,2,5,6,4,3,1,
77,2,6,
9,2,6,1,
4,2,6,1,3,4,5,
4,2,6,1,3,5,4,
1,2,6,1,4,3,
1,2,6,1,4,5,
3,2,6,1,4,5,3,
1,2,6,1,5,
5,2,6,1,5,3,4,
4,2,6,1,5,4,3,
1,2,6,3,
1,2,6,3,1,5,4,
2,2,6,3,4,5,1,
1,2,6,3,5,1,4,
1,2,6,3,5,4,1,
2,2,6,4,
1,2,6,4,1,3,5,
3,2,6,4,1,5,3,
1,2,6,4,3,
4,2,6,4,3,5,1,
11,2,6,4,5,1,3,
9,2,6,4,5,3,1,
9,2,6,5,
6,2,6,5,1,3,4,
1,2,6,5,1,4,3,
1,2,6,5,3,1,4,
3,2,6,5,3,4,1,
1,2,6,5,4,
9,2,6,5,4,1,3,
15,2,6,5,4,3,1,
2008,3,
17,3,1,
1,3,1,2,
10,3,1,2,4,5,6,
2,3,1,2,4,6,5,
1,3,1,2,5,4,6,
1,3,1,2,5,6,
1,3,1,2,6,5,4,
1,3,1,4,
4,3,1,4,2,5,6,
1,3,1,4,5,2,6,
1,3,1,4,5,6,2,
1,3,1,4,6,2,5,
2,3,1,4,6,5,2,
2,3,1,5,
1,3,1,5,2,6,4,
4,3,1,5,4,2,6,
1,3,1,5,4,6,2,
6,3,1,5,6,4,2,
1,3,1,6,
2,3,1,6,2,4,5,
1,3,1,6,4,
1,3,1,6,4,5,2,
4,3,1,6,5,2,4,
1,3,1,6,5,4,
3,3,1,6,5,4,2,
17,3,2,
1,3,2,1,
13,3,2,1,4,5,6,
1,3,2,1,5,4,6,
1,3,2,1,5,6,4,
2,3,2,4,
1,3,2,4,1,5,6,
1,3,2,4,5,
1,3,2,4,5,6,
11,3,2,4,5,6,1,
1,3,2,4,6,1,5,
1,3,2,4,6,5,1,
1,3,2,5,
2,3,2,5,6,1,4,
1,3,2,5,6,4,
3,3,2,5,6,4,1,
1,3,2,6,
1,3,2,6,1,5,4,
1,3,2,6,5,1,4,
1,3,2,6,5,4,1,
27,3,4,
2,3,4,1,2,5,6,
1,3,4,1,2,6,5,
1,3,4,1,5,
1,3,4,1,5,6,2,
1,3,4,2,
1,3,4,2,1,
3,3,4,2,1,5,6,
2,3,4,2,5,6,1,
2,3,4,2,6,5,1,
8,3,4,5,
3,3,4,5,1,2,6,
2,3,4,5,1,6,2,
1,3,4,5,2,1,6,
6,3,4,5,2,6,1,
2,3,4,5,6,1,
5,3,4,5,6,1,2,
22,3,4,5,6,2,1,
2,3,4,6,
1,3,4,6,1,2,5,
3,3,4,6,5,1,2,
4,3,4,6,5,2,1,
39,3,5,
4,3,5,1,
2,3,5,1,2,6,4,
1,3,5,1,4,2,6,
1,3,5,1,4,6,2,
1,3,5,1,6,2,4,
1,3,5,2,1,6,4,
1,3,5,2,4,6,1,
1,3,5,2,6,1,4,
2,3,5,2,6,4,1,
3,3,5,4,
2,3,5,4,2,1,6,
1,3,5,4,2,6,
2,3,5,4,2,6,1,
1,3,5,4,6,1,2,
4,3,5,4,6,2,1,
5,3,5,6,
1,3,5,6,1,
2,3,5,6,1,2,4,
1,3,5,6,2,1,
2,3,5,6,2,1,4,
7,3,5,6,2,4,1,
1,3,5,6,4,1,2,
1,3,5,6,4,2,
5,3,5,6,4,2,1,
57,3,6,
2,3,6,1,
2,3,6,1,2,4,5,
1,3,6,1,4,2,5,
1,3,6,1,4,5,2,
1,3,6,1,5,2,4,
1,3,6,1,5,4,2,
1,3,6,2,1,4,5,
1,3,6,2,1,5,4,
1,3,6,2,4,1,5,
7,3,6,2,5,
1,3,6,4,2,1,5,
2,3,6,4,2,5,1,
3,3,6,4,5,1,2,
5,3,6,4,5,2,1,
7,3,6,5,
4,3,6,5,1,2,4,
1,3,6,5,2,1,
2,3,6,5,2,1,4,
6,3,6,5,2,4,1,
1,3,6,5,4,1,2,
11,3,6,5,4,2,1,
1048,4,
6,4,1,
5,4,1,2,
5,4,1,2,3,5,6,
1,4,1,2,3,6,5,
1,4,1,2,5,3,6,
3,4,1,2,5,6,3,
1,4,1,2,6,5,3,
2,4,1,3,2,5,6,
1,4,1,3,5,2,6,
1,4,1,3,5,6,2,
1,4,1,5,3,2,6,
1,4,1,5,6,2,3,
2,4,1,6,
2,4,1,6,2,5,3,
1,4,1,6,3,2,5,
1,4,1,6,3,5,2,
3,4,1,6,5,2,3,
3,4,1,6,5,3,2,
14,4,2,
1,4,2,1,3,5,6,
1,4,2,1,3,6,5,
1,4,2,1,5,3,6,
1,4,2,1,6,5,3,
1,4,2,3,
1,4,2,3,5,1,6,
6,4,2,3,5,6,1,
1,4,2,3,6,5,1,
1,4,2,5,
2,4,2,5,1,6,3,
1,4,2,5,3,1,6,
1,4,2,5,3,6,1,
1,4,2,5,6,
1,4,2,5,6,1,3,
4,4,2,5,6,3,1,
3,4,2,6,
1,4,2,6,1,3,5,
2,4,2,6,3,5,1,
2,4,2,6,5,1,3,
1,4,2,6,5,3,1,
16,4,3,
1,4,3,1,
1,4,3,1,2,5,6,
1,4,3,1,2,6,5,
2,4,3,1,6,5,2,
2,4,3,2,
2,4,3,2,1,5,6,
1,4,3,2,5,
8,4,3,2,5,6,1,
2,4,3,2,6,5,1,
4,4,3,5,
2,4,3,5,1,6,2,
2,4,3,5,2,1,6,
5,4,3,5,2,6,1,
1,4,3,5,6,2,
4,4,3,5,6,2,1,
1,4,3,6,
1,4,3,6,2,
1,4,3,6,5,2,
1,4,3,6,5,2,1,
31,4,5,
1,4,5,1,2,3,6,
1,4,5,1,2,6,3,
2,4,5,1,3,2,6,
1,4,5,1,3,6,
4,4,5,2,
1,4,5,2,1,3,6,
3,4,5,2,1,6,3,
3,4,5,2,3,6,1,
4,4,5,2,6,1,3,
2,4,5,2,6,3,1,
3,4,5,3,
1,4,5,3,2,1,6,
2,4,5,3,2,6,1,
2,4,5,3,6,1,2,
5,4,5,3,6,2,1,
4,4,5,6,
7,4,5,6,1,2,3,
1,4,5,6,1,3,2,
6,4,5,6,2,1,3,
5,4,5,6,2,3,1,
2,4,5,6,3,
2,4,5,6,3,1,2,
