6,1,
2171,1,
100,1,2,
12,1,2,3,
2,1,2,3,4,
3,1,2,3,4,5,
188,1,2,3,4,5,6,
1,1,2,3,4,6,
3,1,2,3,4,6,5,
1,1,2,3,5,
10,1,2,3,5,4,6,
1,1,2,3,5,6,
11,1,2,3,5,6,4,
2,1,2,3,6,4,5,
5,1,2,3,6,5,4,
7,1,2,4,
6,1,2,4,3,5,6,
3,1,2,4,3,6,5,
6,1,2,4,5,3,6,
8,1,2,4,5,6,3,
1,1,2,4,6,3,
2,1,2,4,6,3,5,
5,1,2,4,6,5,3,
1,1,2,5,
8,1,2,5,3,4,6,
3,1,2,5,3,6,4,
1,1,2,5,4,3,
4,1,2,5,4,3,6,
2,1,2,5,4,6,3,
7,1,2,5,6,3,4,
4,1,2,5,6,4,3,
14,1,2,6,
13,1,2,6,3,4,5,
14,1,2,6,3,5,4,
8,1,2,6,4,3,5,
4,1,2,6,4,5,3,
1,1,2,6,5,
17,1,2,6,5,3,4,
13,1,2,6,5,4,3,
41,1,3,
5,1,3,2,
16,1,3,2,4,5,6,
9,1,3,2,4,6,5,
1,1,3,2,5,4,
8,1,3,2,5,4,6,
6,1,3,2,5,6,4,
5,1,3,2,6,4,5,
9,1,3,2,6,5,4,
1,1,3,4,2,
5,1,3,4,2,5,6,
1,1,3,4,2,6,5,
1,1,3,4,5,6,
10,1,3,4,5,6,2,
5,1,3,4,6,2,5,
3,1,3,4,6,5,2,
2,1,3,5,
7,1,3,5,2,4,6,
2,1,3,5,2,6,4,
1,1,3,5,4,2,6,
5,1,3,5,4,6,2,
4,1,3,5,6,2,4,
6,1,3,5,6,4,2,
4,1,3,6,
1,1,3,6,2,4,
4,1,3,6,2,4,5,
4,1,3,6,2,5,4,
1,1,3,6,4,2,5,
4,1,3,6,4,5,2,
2,1,3,6,5,2,4,
8,1,3,6,5,4,2,
37,1,4,
3,1,4,2,
12,1,4,2,3,5,6,
2,1,4,2,3,6,5,
3,1,4,2,5,3,6,
1,1,4,2,6,
3,1,4,2,6,5,3,
1,1,4,3,
4,1,4,3,2,5,6,
4,1,4,3,2,6,5,
1,1,4,3,5,2,6,
3,1,4,3,5,6,2,
3,1,4,3,6,5,2,
1,1,4,5,
1,1,4,5,2,3,6,
1,1,4,5,2,6,3,
6,1,4,5,3,2,6,
1,1,4,5,3,6,2,
1,1,4,5,6,
1,1,4,5,6,2,3,
4,1,4,5,6,3,2,
4,1,4,6,
6,1,4,6,2,3,5,
4,1,4,6,2,5,3,
1,1,4,6,3,2,5,
1,1,4,6,5,3,
3,1,4,6,5,3,2,
44,1,5,
2,1,5,2,
1,1,5,2,3,4,
2,1,5,2,3,4,6,
5,1,5,2,3,6,4,
1,1,5,2,4,3,6,
2,1,5,2,6,3,4,
2,1,5,3,
1,1,5,3,2,4,6,
1,1,5,3,2,6,
4,1,5,3,2,6,4,
2,1,5,3,4,2,6,
1,1,5,3,6,
1,1,5,3,6,2,4,
1,1,5,3,6,4,2,
1,1,5,4,
1,1,5,4,2,3,
1,1,5,4,2,3,6,
1,1,5,4,2,6,3,
1,1,5,4,3,2,
4,1,5,4,3,2,6,
2,1,5,4,3,6,2,
1,1,5,4,6,2,3,
2,1,5,6,
1,1,5,6,2,3,
1,1,5,6,2,3,4,
4,1,5,6,2,4,3,
1,1,5,6,3,
6,1,5,6,3,2,4,
7,1,5,6,3,4,2,
2,1,5,6,4,2,3,
4,1,5,6,4,3,2,
110,1,6,
24,1,6,2,
25,1,6,2,3,4,5,
16,1,6,2,3,5,4,
9,1,6,2,4,3,5,
4,1,6,2,4,5,3,
190,1,6,2,5,3,4,
11,1,6,2,5,4,3,
5,1,6,3,
1,1,6,3,2,4,
13,1,6,3,2,4,5,
3,1,6,3,2,5,4,
1,1,6,3,4,2,
4,1,6,3,4,2,5,
8,1,6,3,4,5,2,
10,1,6,3,5,2,4,
6,1,6,3,5,4,2,
1,1,6,4,
9,1,6,4,2,3,5,
1,1,6,4,2,5,
3,1,6,4,2,5,3,
4,1,6,4,3,2,5,
3,1,6,4,3,5,2,
1,1,6,4,5,2,3,
4,1,6,4,5,3,2,
3,1,6,5,
11,1,6,5,2,3,4,
2,1,6,5,2,4,3,
8,1,6,5,3,2,4,
9,1,6,5,3,4,2,
1,1,6,5,4,
9,1,6,5,4,2,3,
29,1,6,5,4,3,2,
2348,2,
87,2,1,
4,2,1,3,
50,2,1,3,4,5,6,
